t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0050      0.0655     1.0055
  0.0100      0.1310     1.0216
  0.0150      0.1965     1.0476
  0.0200      0.2620     1.0829
  0.0250      0.3275     1.1275
  0.0300      0.3930     1.1792
  0.0350      0.4586     1.2369
  0.0400      0.5241     1.3017
  0.0450      0.5896     1.3706
  0.0500      0.6551     1.4416
  0.0550      0.7206     1.5189
  0.0600      0.7861     1.5965
  0.0650      0.8516     1.6779
  0.0700      0.9171     1.7622
  0.0750      0.9826     1.8460
  0.0800      1.0481     1.9330
  0.0850      1.1136     2.0227
  0.0900      1.1791     2.1146
  0.0950      1.2447     2.2083
  0.1000      1.3102     2.3039
  0.1050      1.3757     2.4018
  0.1100      1.4412     2.5018
  0.1150      1.5067     2.6037
  0.1200      1.5722     2.7069
  0.1250      1.6377     2.8110
  0.1300      1.7032     2.9157
  0.1350      1.7687     3.0207
  0.1400      1.8342     3.1260
  0.1450      1.8997     3.2318
  0.1500      1.9652     3.3382
  0.1550      2.0308     3.4454
  0.1600      2.0963     3.5537
  0.1650      2.1618     3.6617
  0.1700      2.2273     3.7807
  0.1750      2.2928     3.8771
  0.1800      2.3583     3.9854
  0.1850      2.4238     4.0948
  0.1900      2.4893     4.2058
  0.1950      2.5548     4.3162
  0.2000      2.6203     4.4263
  0.2050      2.6858     4.5374
  0.2100      2.7513     4.6511
  0.2150      2.8169     4.7653
  0.2200      2.8824     4.8788
  0.2250      2.9479     4.9938
  0.2300      3.0134     5.1111
  0.2350      3.0789     5.2264
  0.2400      3.1444     5.3425
  0.2450      3.2099     5.4609
  0.2500      3.2754     5.5766
  0.2550      3.3409     5.6932
  0.2600      3.4064     5.8116
  0.2650      3.4719     5.9271
  0.2700      3.5374     6.0435
  0.2750      3.6030     6.1614
  0.2800      3.6685     6.2764
  0.2850      3.7340     6.3921
  0.2900      3.7995     6.5095
  0.2950      3.8650     6.6239
  0.3000      3.9305     6.7385
  0.3050      3.9960     6.8558
  0.3100      4.0615     6.9698
  0.3150      4.1270     7.0834
  0.3200      4.1925     7.2004
  0.3250      4.2580     7.3144
  0.3300      4.3235     7.4274
  0.3350      4.3891     7.5409
  0.3400      4.4546     7.6578
  0.3450      4.5201     7.7705
  0.3500      4.5856     7.8832
  0.3550      4.6511     7.9998
  0.3600      4.7166     8.1129
  0.3650      4.7821     8.2248
  0.3700      4.8476     8.3380
  0.3750      4.9131     8.4541
  0.3800      4.9786     8.5664
  0.3850      5.0441     8.6782
  0.3900      5.1096     8.7922
  0.3950      5.1752     8.9073
  0.4000      5.2407     9.0193
  0.4050      5.3062     9.1316
  0.4100      5.3717     9.2477
  0.4150      5.4372     9.3612
  0.4200      5.5027     9.4725
  0.4250      5.5682     9.5849
  0.4300      5.6337     9.7015
  0.4350      5.6992     9.8129
  0.4400      5.7647     9.9236
  0.4450      5.8302    10.0359
  0.4500      5.8957    10.1520
  0.4550      5.9613    10.2625
  0.4600      6.0268    10.3724
  0.4650      6.0923    10.4837
  0.4700      6.1578    10.6001
  0.4750      6.2233    10.7099
  0.4800      6.2888    10.8189
  0.4850      6.3543    10.9289
  0.4900      6.4198    11.0419
  0.4950      6.4853    11.1553
  0.5000      6.5508    11.2691
  0.5050      6.6163    11.3721
  0.5100      6.6818    11.4819
  0.5150      6.7474    11.5973
  0.5200      6.8129    11.7069
  0.5250      6.8784    11.8142
  0.5300      6.9439    11.9218
  0.5350      7.0094    12.0303
  0.5400      7.0749    12.1448
  0.5450      7.1404    12.2552
  0.5500      7.2059    12.3615
  0.5550      7.2714    12.4680
  0.5600      7.3369    12.5742
  0.5650      7.4024    12.6842
  0.5700      7.4679    12.8008
  0.5750      7.5335    12.9063
  0.5800      7.5990    13.0117
  0.5850      7.6645    13.1161
  0.5900      7.7300    13.2211
  0.5950      7.7955    13.3293
  0.6000      7.8610    13.4452
  0.6050      7.9265    13.5537
  0.6100      7.9920    13.6581
  0.6150      8.0575    13.7610
  0.6200      8.1230    13.8637
  0.6250      8.1885    13.9676
  0.6300      8.2540    14.0744
  0.6350      8.3196    14.1871
  0.6400      8.3851    14.3016
  0.6450      8.4506    14.4047
  0.6500      8.5161    14.5060
  0.6550      8.5816    14.6067
  0.6600      8.6471    14.7074
  0.6650      8.7126    14.8072
  0.6700      8.7781    14.8818
  0.6750      8.8436    14.9157
  0.6800      8.9091    14.0460
  0.6850      8.9746    14.1361
  0.6900      9.0401    14.4644
  0.6950      9.1057    14.6117
  0.7000      9.1712    14.6656
  0.7050      9.2367    14.6841
  0.7100      9.3022    14.6949
  0.7150      9.3677    14.7053
  0.7200      9.4332    14.6829
  0.7250      9.4987    14.7430
  0.7300      9.5642    14.7953
  0.7350      9.6297    14.8325
  0.7400      9.6952    14.2264
  0.7450      9.7607    14.3191
  0.7500      9.8262    14.4183
  0.7550      9.8918    14.5357
  0.7600      9.9573    14.6206
  0.7650     10.0228    14.6854
  0.7700     10.0883    14.7244
