t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0050      0.0655     1.0055
  0.0100      0.1310     1.0213
  0.0150      0.1965     1.0468
  0.0200      0.2620     1.0813
  0.0250      0.3275     1.1261
  0.0300      0.3930     1.1782
  0.0350      0.4586     1.2358
  0.0400      0.5241     1.3004
  0.0450      0.5896     1.3701
  0.0500      0.6551     1.4417
  0.0550      0.7206     1.5198
  0.0600      0.7861     1.5975
  0.0650      0.8516     1.6792
  0.0700      0.9171     1.7634
  0.0750      0.9826     1.8469
  0.0800      1.0481     1.9334
  0.0850      1.1136     2.0229
  0.0900      1.1791     2.1139
  0.0950      1.2447     2.2065
  0.1000      1.3102     2.3009
  0.1050      1.3757     2.3978
  0.1100      1.4412     2.4970
  0.1150      1.5067     2.5982
  0.1200      1.5722     2.7011
  0.1250      1.6377     2.8052
  0.1300      1.7032     2.9105
  0.1350      1.7687     3.0163
  0.1400      1.8342     3.1224
  0.1450      1.8997     3.2280
  0.1500      1.9652     3.3333
  0.1550      2.0308     3.4395
  0.1600      2.0963     3.5468
  0.1650      2.1618     3.6550
  0.1700      2.2273     3.7775
  0.1750      2.2928     3.8704
  0.1800      2.3583     3.9779
  0.1850      2.4238     4.0859
  0.1900      2.4893     4.1956
  0.1950      2.5548     4.3073
  0.2000      2.6203     4.4183
  0.2050      2.6858     4.5289
  0.2100      2.7513     4.6404
  0.2150      2.8169     4.7545
  0.2200      2.8824     4.8678
  0.2250      2.9479     4.9798
  0.2300      3.0134     5.0926
  0.2350      3.0789     5.2080
  0.2400      3.1444     5.3213
  0.2450      3.2099     5.4338
  0.2500      3.2754     5.5481
  0.2550      3.3409     5.6631
  0.2600      3.4064     5.7759
  0.2650      3.4719     5.8889
  0.2700      3.5374     6.0044
  0.2750      3.6030     6.1182
  0.2800      3.6685     6.2305
  0.2850      3.7340     6.3443
  0.2900      3.7995     6.4596
  0.2950      3.8650     6.5723
  0.3000      3.9305     6.6848
  0.3050      3.9960     6.7994
  0.3100      4.0615     6.9135
  0.3150      4.1270     7.0254
  0.3200      4.1925     7.1390
  0.3250      4.2580     7.2550
  0.3300      4.3235     7.3687
  0.3350      4.3891     7.5000
  0.3400      4.4546     7.5974
  0.3450      4.5201     7.7125
  0.3500      4.5856     7.8254
  0.3550      4.6511     7.9392
  0.3600      4.7166     8.0553
  0.3650      4.7821     8.1683
  0.3700      4.8476     8.2810
  0.3750      4.9131     8.3957
  0.3800      4.9786     8.5103
  0.3850      5.0441     8.6225
  0.3900      5.1096     8.7350
  0.3950      5.1752     8.8509
  0.4000      5.2407     8.9633
  0.4050      5.3062     9.0751
  0.4100      5.3717     9.1879
  0.4150      5.4372     9.3037
  0.4200      5.5027     9.4154
  0.4250      5.5682     9.5267
  0.4300      5.6337     9.6395
  0.4350      5.6992     9.7548
  0.4400      5.7647     9.8660
  0.4450      5.8302     9.9769
  0.4500      5.8957    10.0896
  0.4550      5.9613    10.2044
  0.4600      6.0268    10.3151
  0.4650      6.0923    10.4254
  0.4700      6.1578    10.5374
  0.4750      6.2233    10.6534
  0.4800      6.2888    10.7640
  0.4850      6.3543    10.8743
  0.4900      6.4198    10.9864
  0.4950      6.4853    11.1022
  0.5000      6.5508    11.2071
  0.5050      6.6163    11.3204
  0.5100      6.6818    11.4317
  0.5150      6.7474    11.5458
  0.5200      6.8129    11.6573
  0.5250      6.8784    11.7661
  0.5300      6.9439    11.8750
  0.5350      7.0094    11.9862
  0.5400      7.0749    12.1012
  0.5450      7.1404    12.2091
  0.5500      7.2059    12.3181
  0.5550      7.2714    12.4273
  0.5600      7.3369    12.5391
  0.5650      7.4024    12.6532
  0.5700      7.4679    12.7616
  0.5750      7.5335    12.8698
  0.5800      7.5990    12.9796
  0.5850      7.6645    13.0925
  0.5900      7.7300    13.2042
  0.5950      7.7955    13.3115
  0.6000      7.8610    13.4194
  0.6050      7.9265    13.5277
  0.6100      7.9920    13.6382
  0.6150      8.0575    13.7523
  0.6200      8.1230    13.8586
  0.6250      8.1885    13.9651
  0.6300      8.2540    14.0720
  0.6350      8.3196    14.1792
  0.6400      8.3851    14.2910
  0.6450      8.4506    14.4027
  0.6500      8.5161    14.5085
  0.6550      8.5816    14.6133
  0.6600      8.6471    14.7181
  0.6650      8.7126    14.8204
  0.6700      8.7781    14.9029
  0.6750      8.8436    14.9274
  0.6800      8.9091    14.9421
  0.6850      8.9746    14.9540
  0.6900      9.0401    14.9613
  0.6950      9.1057    14.9636
  0.7000      9.1712    14.9652
  0.7050      9.2367    14.9697
  0.7100      9.3022    14.9766
  0.7150      9.3677    14.9860
  0.7200      9.4332    14.9979
  0.7250      9.4987    14.4072
  0.7300      9.5642    14.0281
  0.7350      9.6297    14.6640
  0.7400      9.6952    14.2246
  0.7450      9.7607    14.3214
  0.7500      9.8262    14.4155
  0.7550      9.8918    14.5134
  0.7600      9.9573    14.5940
  0.7650     10.0228    14.6619
