t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0050      0.0655     1.0055
  0.0100      0.1310     1.0213
  0.0150      0.1965     1.0470
  0.0200      0.2620     1.0817
  0.0250      0.3275     1.1268
  0.0300      0.3930     1.1791
  0.0350      0.4586     1.2376
  0.0400      0.5241     1.3046
  0.0450      0.5896     1.3758
  0.0500      0.6551     1.4513
  0.0550      0.7206     1.5298
  0.0600      0.7861     1.6135
  0.0650      0.8516     1.6973
  0.0700      0.9171     1.7848
  0.0750      0.9826     1.8755
  0.0800      1.0481     1.9680
  0.0850      1.1136     2.0616
  0.0900      1.1791     2.1567
  0.0950      1.2447     2.2534
  0.1000      1.3102     2.3519
  0.1050      1.3757     2.4523
  0.1100      1.4412     2.5543
  0.1150      1.5067     2.6577
  0.1200      1.5722     2.7624
  0.1250      1.6377     2.8683
  0.1300      1.7032     2.9737
  0.1350      1.7687     3.0803
  0.1400      1.8342     3.1881
  0.1450      1.8997     3.2990
  0.1500      1.9652     3.4095
  0.1550      2.0308     3.5196
  0.1600      2.0963     3.6294
  0.1650      2.1618     3.7661
  0.1700      2.2273     3.8534
  0.1750      2.2928     3.9660
  0.1800      2.3583     4.0772
  0.1850      2.4238     4.1891
  0.1900      2.4893     4.3037
  0.1950      2.5548     4.4174
  0.2000      2.6203     4.5296
  0.2050      2.6858     4.6431
  0.2100      2.7513     4.7590
  0.2150      2.8169     4.8726
  0.2200      2.8824     4.9858
  0.2250      2.9479     5.1018
  0.2300      3.0134     5.2172
  0.2350      3.0789     5.3307
  0.2400      3.1444     5.4460
  0.2450      3.2099     5.5631
  0.2500      3.2754     5.6773
  0.2550      3.3409     5.7923
  0.2600      3.4064     5.9103
  0.2650      3.4719     6.0252
  0.2700      3.5374     6.1404
  0.2750      3.6030     6.2589
  0.2800      3.6685     6.3743
  0.2850      3.7340     6.4898
  0.2900      3.7995     6.6088
  0.2950      3.8650     6.7245
  0.3000      3.9305     6.8405
  0.3050      3.9960     6.9599
  0.3100      4.0615     7.0757
  0.3150      4.1270     7.1924
  0.3200      4.1925     7.3120
  0.3250      4.2580     7.4277
  0.3300      4.3235     7.5444
  0.3350      4.3891     7.6648
  0.3400      4.4546     7.7807
  0.3450      4.5201     7.9006
  0.3500      4.5856     8.0183
  0.3550      4.6511     8.1348
  0.3600      4.7166     8.2560
  0.3650      4.7821     8.3727
  0.3700      4.8476     8.4904
  0.3750      4.9131     8.6113
  0.3800      4.9786     8.7277
  0.3850      5.0441     8.8484
  0.3900      5.1096     8.9669
  0.3950      5.1752     9.0840
  0.4000      5.2407     9.2066
  0.4050      5.3062     9.3232
  0.4100      5.3717     9.4430
  0.4150      5.4372     9.5637
  0.4200      5.5027     9.6808
  0.4250      5.5682     9.8050
  0.4300      5.6337     9.9218
  0.4350      5.6992    10.0434
  0.4400      5.7647    10.1637
  0.4450      5.8302    10.2823
  0.4500      5.8957    10.4069
  0.4550      5.9613    10.5240
  0.4600      6.0268    10.6507
  0.4650      6.0923    10.7675
  0.4700      6.1578    10.8910
  0.4750      6.2233    11.0121
  0.4800      6.2888    11.1328
  0.4850      6.3543    11.2664
  0.4900      6.4198    11.3756
  0.4950      6.4853    11.5032
  0.5000      6.5508    11.6194
  0.5050      6.6163    11.7430
  0.5100      6.6818    11.8568
  0.5150      6.7474    11.7865
  0.5200      6.8129    11.8993
  0.5250      6.8784    12.0240
  0.5300      6.9439    12.1433
  0.5350      7.0094    12.2711
  0.5400      7.0749    12.3943
  0.5450      7.1404    12.5219
  0.5500      7.2059    12.6521
  0.5550      7.2714    12.7773
  0.5600      7.3369    12.9089
  0.5650      7.4024    13.0356
  0.5700      7.4679    13.1660
  0.5750      7.5335    13.2995
  0.5800      7.5990    13.4234
  0.5850      7.6645    13.5569
  0.5900      7.7300    13.6822
  0.5950      7.7955    13.8114
  0.6000      7.8610    13.9430
  0.6050      7.9265    14.0658
  0.6100      7.9920    14.2000
  0.6150      8.0575    14.3181
  0.6200      8.1230    14.4516
  0.6250      8.1885    14.5632
  0.6300      8.2540    14.7033
  0.6350      8.3196    14.5167
  0.6400      8.3851    14.6330
  0.6450      8.4506    14.7490
  0.6500      8.5161    13.6097
  0.6550      8.5816    13.7202
  0.6600      8.6471    13.8208
  0.6650      8.7126    13.9202
  0.6700      8.7781    14.0190
  0.6750      8.8436    14.1173
  0.6800      8.9091    14.2146
  0.6850      8.9746    14.3120
  0.6900      9.0401    14.4177
  0.6950      9.1057    14.5619
  0.7000      9.1712    14.6447
  0.7050      9.2367    14.8094
  0.7100      9.3022    14.8474
  0.7150      9.3677    14.8523
  0.7200      9.4332    14.8120
  0.7250      9.4987    14.8398
