t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0050      0.0655     1.0055
  0.0100      0.1310     1.0213
  0.0150      0.1965     1.0468
  0.0200      0.2620     1.0820
  0.0250      0.3275     1.1269
  0.0300      0.3930     1.1789
  0.0350      0.4586     1.2362
  0.0400      0.5241     1.3002
  0.0450      0.5896     1.3695
  0.0500      0.6551     1.4403
  0.0550      0.7206     1.5178
  0.0600      0.7861     1.5945
  0.0650      0.8516     1.6761
  0.0700      0.9171     1.7595
  0.0750      0.9826     1.8422
  0.0800      1.0481     1.9291
  0.0850      1.1136     2.0185
  0.0900      1.1791     2.1091
  0.0950      1.2447     2.2013
  0.1000      1.3102     2.2957
  0.1050      1.3757     2.3929
  0.1100      1.4412     2.4923
  0.1150      1.5067     2.5934
  0.1200      1.5722     2.6959
  0.1250      1.6377     2.7996
  0.1300      1.7032     2.9043
  0.1350      1.7687     3.0092
  0.1400      1.8342     3.1149
  0.1450      1.8997     3.2206
  0.1500      1.9652     3.3262
  0.1550      2.0308     3.4324
  0.1600      2.0963     3.5395
  0.1650      2.1618     3.6476
  0.1700      2.2273     3.7566
  0.1750      2.2928     3.8650
  0.1800      2.3583     3.9730
  0.1850      2.4238     4.0810
  0.1900      2.4893     4.1900
  0.1950      2.5548     4.3011
  0.2000      2.6203     4.4126
  0.2050      2.6858     4.5232
  0.2100      2.7513     4.6337
  0.2150      2.8169     4.7457
  0.2200      2.8824     4.8595
  0.2250      2.9479     4.9717
  0.2300      3.0134     5.0831
  0.2350      3.0789     5.1961
  0.2400      3.1444     5.3106
  0.2450      3.2099     5.4231
  0.2500      3.2754     5.5351
  0.2550      3.3409     5.6493
  0.2600      3.4064     5.7636
  0.2650      3.4719     5.8758
  0.2700      3.5374     5.9883
  0.2750      3.6030     6.1033
  0.2800      3.6685     6.2168
  0.2850      3.7340     6.3286
  0.2900      3.7995     6.4415
  0.2950      3.8650     6.5564
  0.3000      3.9305     6.6691
  0.3050      3.9960     6.7806
  0.3100      4.0615     6.8937
  0.3150      4.1270     7.0082
  0.3200      4.1925     7.1203
  0.3250      4.2580     7.2316
  0.3300      4.3235     7.3445
  0.3350      4.3891     7.4586
  0.3400      4.4546     7.5702
  0.3450      4.5201     7.6823
  0.3500      4.5856     7.7961
  0.3550      4.6511     7.9100
  0.3600      4.7166     8.0214
  0.3650      4.7821     8.1326
  0.3700      4.8476     8.2455
  0.3750      4.9131     8.3588
  0.3800      4.9786     8.4696
  0.3850      5.0441     8.5813
  0.3900      5.1096     8.6942
  0.3950      5.1752     8.8075
  0.4000      5.2407     8.9192
  0.4050      5.3062     9.0309
  0.4100      5.3717     9.1441
  0.4150      5.4372     9.2583
  0.4200      5.5027     9.3699
  0.4250      5.5682     9.4815
  0.4300      5.6337     9.5951
  0.4350      5.6992     9.7087
  0.4400      5.7647     9.8199
  0.4450      5.8302     9.9308
  0.4500      5.8957    10.0436
  0.4550      5.9613    10.1571
  0.4600      6.0268    10.2676
  0.4650      6.0923    10.3777
  0.4700      6.1578    10.4891
  0.4750      6.2233    10.6029
  0.4800      6.2888    10.7128
  0.4850      6.3543    10.8223
  0.4900      6.4198    10.9321
  0.4950      6.4853    11.0439
  0.5000      6.5508    11.1556
  0.5050      6.6163    11.2647
  0.5100      6.6818    11.3730
  0.5150      6.7474    11.4821
  0.5200      6.8129    11.5933
  0.5250      6.8784    11.7049
  0.5300      6.9439    11.8135
  0.5350      7.0094    11.9214
  0.5400      7.0749    12.0301
  0.5450      7.1404    12.1404
  0.5500      7.2059    12.2523
  0.5550      7.2714    12.3602
  0.5600      7.3369    12.4676
  0.5650      7.4024    12.5752
  0.5700      7.4679    12.6838
  0.5750      7.5335    12.7949
  0.5800      7.5990    12.9044
  0.5850      7.6645    13.0117
  0.5900      7.7300    13.1183
  0.5950      7.7955    13.2253
  0.6000      7.8610    13.3337
  0.6050      7.9265    13.4438
  0.6100      7.9920    13.5535
  0.6150      8.0575    13.6601
  0.6200      8.1230    13.7661
  0.6250      8.1885    13.8725
  0.6300      8.2540    13.9795
  0.6350      8.3196    14.0880
  0.6400      8.3851    14.1992
  0.6450      8.4506    14.3057
  0.6500      8.5161    14.4110
  0.6550      8.5816    14.5164
  0.6600      8.6471    14.6216
  0.6650      8.7126    14.7267
  0.6700      8.7781    14.8298
  0.6750      8.8436    14.9092
  0.6800      8.9091    14.9470
  0.6850      8.9746    14.9975
  0.7300      9.5642    13.9180
  0.7350      9.6297    14.0290
  0.7400      9.6952    14.1327
  0.7450      9.7607    14.2344
  0.7500      9.8262    14.3338
  0.7550      9.8918    14.4304
  0.7600      9.9573    14.5253
  0.7650     10.0228    14.6323
  0.7700     10.0883    14.6891
