# Fleet safety ceiling, REPORT-ONLY production ticks. This runner never kills.
# ran=0 means THE CEILING CHECK DID NOT RUN this tick -- NOT A RESULT, never a
# clean sweep. budget_term is UNAVAILABLE every tick by construction:
# COMPUTE_BUDGET_CHARTER section 5, this box cannot read its own billing.
# detail lists every LIVE and every NOT-EVALUATED entry by name; the archived
# majority is carried in the counts and in full in ceiling_tick_latest.json.
utc	rc	ran	records	evaluated	not_evaluated	live	capless_live	unreadable	findings	budget_term	detail
2026-09-03T18:59:18Z	0	1	0	0	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:18Z	0	1	0	0	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:18Z	0	1	1	1	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:18Z	0	1	1	1	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:18Z	0	1	1	1	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:18Z	0	1	1	1	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:18Z	0	1	1	1	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:18Z	0	1	2	2	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:19Z	0	1	2	2	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:19Z	0	1	3	3	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:19Z	0	1	6	6	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:20Z	0	1	7	7	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:20Z	0	1	8	8	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:21Z	0	1	9	9	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:21Z	0	1	10	10	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	11	11	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	0	0	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	0	0	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	0	0	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	0	0	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	2	2	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	1	1	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	2	2	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:22Z	0	1	3	3	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	3	3	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	4	4	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	4	4	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	5	5	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	12	12	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	13	13	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	14	14	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:23Z	0	1	14	14	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:24Z	0	1	15	15	0	0	0	0	-	UNAVAILABLE--NOT-EVALUATED	-
2026-09-03T18:59:37Z	4	1	5	5	0	4	1	0	PLANTED_ARGV_EXITED_SOLVE_ALIVE,PLANTED_OVER_CEILING,PLANTED_UNDER_CEILING	UNAVAILABLE--NOT-EVALUATED	cfd/PLANTED_ARGV_EXITED_SOLVE_ALIVE=AT OR OVER CEILING; cfd/PLANTED_CAPLESS=NOT A RESULT (no cap_core_min_registered: no ceiling is computable, so this entry is UNPROTECTED -- not safe); cfd/PLANTED_OVER_CEILING=AT OR OVER CEILING; cfd/PLANTED_UNDER_CEILING=AT OR OVER CEILING
2026-09-03T18:59:37Z	4	1	5	5	0	4	1	0	PLANTED_ARGV_EXITED_SOLVE_ALIVE,PLANTED_OVER_CEILING,PLANTED_UNDER_CEILING	UNAVAILABLE--NOT-EVALUATED	cfd/PLANTED_ARGV_EXITED_SOLVE_ALIVE=AT OR OVER CEILING; cfd/PLANTED_CAPLESS=NOT A RESULT (no cap_core_min_registered: no ceiling is computable, so this entry is UNPROTECTED -- not safe); cfd/PLANTED_OVER_CEILING=AT OR OVER CEILING; cfd/PLANTED_UNDER_CEILING=AT OR OVER CEILING
