case                     patch       nRows  meanRowSum    meanExc%     maxExc% nEdgeVis    exc/pair   pred/pair
S_c                      inner         600   1.0019573      0.1957      0.4776    0.000         nan   0.0096524
S_c                      outer         600   1.0410323      4.1032      4.7726    4.000   0.0102581   0.0096524
S_m                      inner        1536   1.0019404      0.1940      0.3005    0.000         nan   0.0096524
S_m                      outer        1536   1.0403450      4.0345      4.2740    4.000   0.0100863   0.0096524
S_f                      inner        4056   1.0007719      0.0772      0.1145    0.000         nan   0.0096524
S_f                      outer        4056   1.0396176      3.9618      4.4737    4.000   0.0099044   0.0096524
B_c                      floor         256   1.0041350      0.4135      1.9285    0.250   0.0165402   0.0096524
B_c                      ceiling       256   1.0041350      0.4135      1.9285    0.250   0.0165402   0.0096524
B_c                      x0            128   1.0051915      0.5191      1.9426    0.375   0.0138439   0.0096524
B_c                      x1            128   1.0051915      0.5191      1.9426    0.375   0.0138439   0.0096524
B_c                      y0            128   1.0051915      0.5191      1.9426    0.375   0.0138439   0.0096524
B_c                      y1            128   1.0051915      0.5191      1.9426    0.375   0.0138439   0.0096524
B_m                      floor         676   1.0024843      0.2484      1.9132    0.154   0.0161481   0.0096524
B_m                      ceiling       676   1.0050917      0.5092      3.9068    0.423   0.0120349   0.0096524
B_m                      x0            338   1.0033445      0.3345      1.9191    0.231   0.0144930   0.0096524
B_m                      x1            338   1.0033445      0.3345      1.9191    0.231   0.0144930   0.0096524
B_m                      y0            338   1.0033445      0.3345      1.9191    0.231   0.0144930   0.0096524
B_m                      y1            338   1.0033445      0.3345      1.9191    0.231   0.0144930   0.0096524
B_f                      floor        1764   1.0015155      0.1515      1.9089    0.095   0.0159123   0.0096524
B_f                      ceiling      1764   1.0048859      0.4886      3.0375    0.443   0.0110214   0.0096524
B_f                      x0            882   1.0021270      0.2127      1.9113    0.143   0.0148887   0.0096524
B_f                      x1            882   1.0021710      0.2171      2.0828    0.147   0.0147297   0.0096524
B_f                      y0            882   1.0021270      0.2127      1.9113    0.143   0.0148887   0.0096524
B_f                      y1            882   1.0021270      0.2127      1.9113    0.143   0.0148887   0.0096524

wrote /home/ubuntu/Certonomous/verification/runs/T-family/T10aVF_runs/t10a_reanalysis.json
