case                     patch       nRows  meanRowSum    meanExc%     maxExc% nEdgeVis    exc/pair   pred/pair
S1_SPH_L1                inner         384   0.9893824     -1.0618     -0.8171    0.000         nan   0.0096524
S1_SPH_L1                outer         384   1.0340923      3.4092      4.0715    4.000   0.0085231   0.0096524
S1_SPH_L1_afix           inner         384   0.9893824     -1.0618     -0.8171    0.000         nan  -0.0000000
S1_SPH_L1_afix           outer         384   0.9947869     -0.5213      0.1791    4.000  -0.0013033  -0.0000000
S1_SPH_L2                inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.0096524
S1_SPH_L2                outer         864   1.0402552      4.0255      4.4022    4.000   0.0100638   0.0096524
S1_SPH_L2_afix           inner         864   1.0030814      0.3081      0.4822    0.000         nan  -0.0000000
S1_SPH_L2_afix           outer         864   1.0009944      0.0994      0.4899    4.000   0.0002486  -0.0000000
S1_SPH_L3                inner        1536   1.0019404      0.1940      0.3005    0.000         nan   0.0096524
S1_SPH_L3                outer        1536   1.0403450      4.0345      4.2740    4.000   0.0100863   0.0096524
S1_SPH_L3_afix           inner        1536   1.0019404      0.1940      0.3005    0.000         nan  -0.0000000
S1_SPH_L3_afix           outer        1536   1.0010893      0.1089      0.4022    4.000   0.0002723  -0.0000000
S1_SPH_L4                inner        2400   1.0012772      0.1277      0.1910    0.000         nan   0.0096524
S1_SPH_L4                outer        2400   1.0395530      3.9553      4.3224    4.000   0.0098882   0.0096524
S1_SPH_L4_afix           inner        2400   1.0012772      0.1277      0.1910    0.000         nan  -0.0000000
S1_SPH_L4_afix           outer        2400   1.0003064      0.0306      0.3337    4.000   0.0000766  -0.0000000
S2_BALL_c                outer         384   1.0439484      4.3948      4.6056    4.000   0.0109871   0.0096524
S2_BALL_f                outer        1536   1.0405625      4.0562      4.3857    4.000   0.0101406   0.0096524
S2_BALL_f_afix           outer        1536   1.0013067      0.1307      0.1427    4.000   0.0003267  -0.0000000
S2_BOX_c                 floor          64   1.0072588      0.7259      1.9868    0.500   0.0145177   0.0096524
S2_BOX_c                 ceiling        64   1.0072588      0.7259      1.9868    0.500   0.0145177   0.0096524
S2_BOX_c                 x0             64   1.0072588      0.7259      1.9868    0.500   0.0145177   0.0096524
S2_BOX_c                 x1             64   1.0072588      0.7259      1.9868    0.500   0.0145177   0.0096524
S2_BOX_c                 y0             64   1.0072588      0.7259      1.9868    0.500   0.0145177   0.0096524
S2_BOX_c                 y1             64   1.0072588      0.7259      1.9868    0.500   0.0145177   0.0096524
S2_BOX_f                 floor         256   1.0037553      0.3755      1.9234    0.250   0.0150214   0.0096524
S2_BOX_f                 ceiling       256   1.0037553      0.3755      1.9234    0.250   0.0150214   0.0096524
S2_BOX_f                 x0            256   1.0037553      0.3755      1.9234    0.250   0.0150214   0.0096524
S2_BOX_f                 x1            256   1.0037553      0.3755      1.9234    0.250   0.0150214   0.0096524
S2_BOX_f                 y0            256   1.0037553      0.3755      1.9234    0.250   0.0150214   0.0096524
S2_BOX_f                 y1            256   1.0037553      0.3755      1.9234    0.250   0.0150214   0.0096524
S2_BOX_f_afix            floor         256   1.0013422      0.1342      0.2769    0.250   0.0053690  -0.0000000
S2_BOX_f_afix            ceiling       256   1.0013422      0.1342      0.2769    0.250   0.0053690  -0.0000000
S2_BOX_f_afix            x0            256   1.0013422      0.1342      0.2769    0.250   0.0053690  -0.0000000
S2_BOX_f_afix            x1            256   1.0013422      0.1342      0.2769    0.250   0.0053690  -0.0000000
S2_BOX_f_afix            y0            256   1.0013422      0.1342      0.2769    0.250   0.0053690  -0.0000000
S2_BOX_f_afix            y1            256   1.0013422      0.1342      0.2769    0.250   0.0053690  -0.0000000
S2_CYL_c                 side          256   1.0303025      3.0303      4.1669    2.336   0.0129723   0.0096524
S2_CYL_c                 ends          128   1.0099732      0.9973      3.9080    0.609   0.0163663   0.0096524
S2_CYL_f                 side         1024   1.0275338      2.7534      4.1368    2.254   0.0122161   0.0096524
S2_CYL_f                 ends          512   1.0047810      0.4781      3.3732    0.250   0.0191238   0.0096524
S2_CYL_f_afix            side         1024   1.0010202      0.1020      0.1872    2.254   0.0004526  -0.0000000
S2_CYL_f_afix            ends          512   1.0006548      0.0655      1.0957    0.250   0.0026194  -0.0000000
S2_SHELL_c               inner         384   0.9969035     -0.3096     -0.2567    0.000         nan   0.0096524
S2_SHELL_c               outer         384   0.9999481     -0.0052      3.2865    0.500  -0.0001038   0.0096524
S2_SHELL_f               inner        1536   1.0023152      0.2315      0.4034    0.000         nan   0.0096524
S2_SHELL_f               outer        1536   1.0061958      0.6196      2.9263    0.250   0.0247833   0.0096524
S2_SHELL_f_afix          inner        1536   1.0023152      0.2315      0.4034    0.000         nan  -0.0000000
S2_SHELL_f_afix          outer        1536   1.0037827      0.3783      2.9263    0.250   0.0151309  -0.0000000
S3_agglom_10             inner          15   0.8691680    -13.0832     17.7237    0.400  -0.3270801   0.0096524
S3_agglom_10_afix        inner          15   0.8691680    -13.0832     17.7237    0.400  -0.3270801  -0.0000000
S3_alpha_0p100           inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.1277354
S3_alpha_0p100           outer         864   1.5212611     52.1261     56.2208    4.000   0.1303153   0.1277354
S3_alpha_0p150           inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.0632036
S3_alpha_0p150           outer         864   1.2586230     25.8623     27.7292    4.000   0.0646557   0.0632036
S3_alpha_0p200           inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.0174176
S3_alpha_0p200           outer         864   1.0718490      7.1849      7.5848    4.000   0.0179623   0.0174176
S3_alpha_0p220           inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.0022485
S3_alpha_0p220           outer         864   1.0101421      1.0142      1.4013    4.000   0.0025355   0.0022485
S3_alpha_0p250           inner         864   1.0030814      0.3081      0.4822    0.000         nan  -0.0180968
S3_alpha_0p250           outer         864   0.9273640     -7.2636     -6.8451    4.000  -0.0181590  -0.0180968
S3_alpha_0p300           inner         864   1.0030814      0.3081      0.4822    0.000         nan  -0.0471142
S3_alpha_0p300           outer         864   0.8094318    -19.0568    -18.5006    4.000  -0.0476420  -0.0471142
S3_dist_1                inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.0096524
S3_dist_1                outer         864   1.0012815      0.1281      0.5117    4.000   0.0003204   0.0096524
S3_dist_100              inner         864   0.9980116     -0.1988     -0.1029    0.000         nan   0.0096524
S3_dist_100              outer         864   1.0373161      3.7316      4.1315    4.000   0.0093290   0.0096524
S3_dist_4                inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.0096524
S3_dist_4                outer         864   1.0403902      4.0390      4.4122    4.000   0.0100975   0.0096524
S3_gauss_0p001           inner         864   1.0030814      0.3081      0.4822    0.000         nan   0.0096524
S3_gauss_0p001           outer         864   1.0402632      4.0263      4.4022    4.000   0.0100658   0.0096524
