# Region            : cellZone slabA
# Cells             : 60
# Volume            : 6.972459419793e-09
# Time              	volAverage(p)
1                   	7.022391049645e+03
2                   	1.303780642448e+04
3                   	1.362699845503e+04
4                   	1.052530389201e+04
5                   	8.055686150553e+03
6                   	8.267191529178e+03
7                   	9.894995183411e+03
8                   	1.073690722307e+04
9                   	1.005481326266e+04
10                  	8.776435578049e+03
11                  	8.071889041797e+03
12                  	8.226540645687e+03
13                  	8.645006488888e+03
14                  	8.730819832820e+03
15                  	8.420069088972e+03
16                  	8.060660598126e+03
17                  	7.953651237040e+03
18                  	8.085567028143e+03
19                  	8.242438616366e+03
20                  	8.266783844453e+03
21                  	8.179226221092e+03
22                  	8.100308292721e+03
23                  	8.105344083855e+03
24                  	8.167407308628e+03
25                  	8.217005295878e+03
26                  	8.217707142881e+03
27                  	8.190817439936e+03
28                  	8.176856435754e+03
29                  	8.192923512528e+03
30                  	8.226302065757e+03
31                  	8.254203363196e+03
32                  	8.268912593487e+03
33                  	8.279611456791e+03
34                  	8.297670742039e+03
35                  	8.324829894582e+03
36                  	8.355772694149e+03
37                  	8.382195442596e+03
38                  	8.402134050284e+03
39                  	8.419192187647e+03
40                  	8.437339559046e+03
41                  	8.456719998458e+03
42                  	8.474909404286e+03
43                  	8.489989982251e+03
44                  	8.501686007604e+03
45                  	8.511111192895e+03
46                  	8.519466498974e+03
47                  	8.527039338185e+03
48                  	8.533292808021e+03
49                  	8.537746596482e+03
50                  	8.540439133545e+03
51                  	8.542031615487e+03
52                  	8.542805006500e+03
53                  	8.542962607812e+03
54                  	8.542564770660e+03
55                  	8.541561820290e+03
56                  	8.539973647266e+03
57                  	8.537956896369e+03
58                  	8.535692282759e+03
59                  	8.533267921045e+03
60                  	8.530716601617e+03
61                  	8.528092849993e+03
62                  	8.525494586323e+03
63                  	8.522969926047e+03
64                  	8.520516073294e+03
65                  	8.518131896307e+03
66                  	8.515839733792e+03
67                  	8.513691482784e+03
68                  	8.511616739541e+03
69                  	8.509754048158e+03
70                  	8.508148458106e+03
71                  	8.506751131911e+03
72                  	8.505474838768e+03
73                  	8.504310197558e+03
74                  	8.503293967799e+03
75                  	8.502438398385e+03
76                  	8.501735879313e+03
77                  	8.501172857028e+03
78                  	8.500717827662e+03
79                  	8.500362030039e+03
80                  	8.500108990106e+03
81                  	8.499949627498e+03
82                  	8.499872495423e+03
83                  	8.499860193616e+03
84                  	8.499896438791e+03
85                  	8.499973998428e+03
86                  	8.500097772124e+03
87                  	8.500263399420e+03
88                  	8.500455528477e+03
89                  	8.500658107411e+03
90                  	8.500866687908e+03
91                  	8.501088034812e+03
92                  	8.501316259713e+03
93                  	8.501541961651e+03
94                  	8.501757793117e+03
95                  	8.501963845805e+03
96                  	8.502161499662e+03
97                  	8.502359865242e+03
98                  	8.502542083436e+03
99                  	8.502701513736e+03
100                 	8.502840490201e+03
101                 	8.502965432149e+03
102                 	8.503079892430e+03
103                 	8.503183396358e+03
104                 	8.503274058158e+03
105                 	8.503348663366e+03
106                 	8.503408579166e+03
107                 	8.503456638437e+03
108                 	8.503494951069e+03
109                 	8.503525502627e+03
110                 	8.503549019278e+03
111                 	8.503563486414e+03
112                 	8.503569763891e+03
113                 	8.503569004887e+03
114                 	8.503563487496e+03
115                 	8.503555089938e+03
