# y+ ()             
# Time              	patch               	min                 	max                 	average             
200                 	walls	2.217529561662e+01	3.180773406400e+01	3.165935739594e+01
400                 	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
600                 	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
800                 	walls	2.217529561696e+01	3.180773405620e+01	3.165935758383e+01
1000                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758383e+01
1200                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758383e+01
1400                	walls	2.217529561696e+01	3.180773405621e+01	3.165935758384e+01
1600                	walls	2.217529561696e+01	3.180773405621e+01	3.165935758384e+01
1800                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758384e+01
2000                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
2200                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
2400                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
2600                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
2800                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
3000                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758382e+01
3200                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
3400                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758385e+01
3600                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758384e+01
3800                	walls	2.217529561696e+01	3.180773405621e+01	3.165935758383e+01
4000                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
4200                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
4400                	walls	2.217529561696e+01	3.180773405618e+01	3.165935758383e+01
4600                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758385e+01
4800                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
5000                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
5200                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758385e+01
5400                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
5600                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
5800                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
6000                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
6200                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758385e+01
6400                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758384e+01
6600                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
6800                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758384e+01
7000                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758385e+01
7200                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
7400                	walls	2.217529561696e+01	3.180773405621e+01	3.165935758385e+01
7600                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758382e+01
7800                	walls	2.217529561696e+01	3.180773405619e+01	3.165935758383e+01
8000                	walls	2.217529561696e+01	3.180773405620e+01	3.165935758383e+01
