# Region            : cellZone slabA
# Cells             : 26
# Volume            : 7.139798445863e-09
# Time              	volAverage(p)
1                   	6.609515747602e+03
2                   	1.257547882648e+04
3                   	1.336987224082e+04
4                   	1.054169058093e+04
5                   	7.945603835860e+03
6                   	7.637073418410e+03
7                   	8.831792165018e+03
8                   	9.692154629884e+03
9                   	9.380942985003e+03
10                  	8.412916744863e+03
11                  	7.733674733752e+03
12                  	7.752618360605e+03
13                  	8.148487381823e+03
14                  	8.402678108568e+03
15                  	8.318910168450e+03
16                  	8.079102096121e+03
17                  	7.947566130189e+03
18                  	8.005963083797e+03
19                  	8.143578989799e+03
20                  	8.220140681882e+03
21                  	8.203991415679e+03
22                  	8.159177061387e+03
23                  	8.159406423861e+03
24                  	8.214693378892e+03
25                  	8.287111540568e+03
26                  	8.338945711256e+03
27                  	8.363560825571e+03
28                  	8.378571767212e+03
29                  	8.401457168431e+03
30                  	8.433901747514e+03
31                  	8.465575286390e+03
32                  	8.487185166143e+03
33                  	8.498043753101e+03
34                  	8.503625758427e+03
35                  	8.508967264991e+03
36                  	8.515075478975e+03
37                  	8.519834551114e+03
38                  	8.520972768099e+03
39                  	8.518544148414e+03
40                  	8.514441190239e+03
41                  	8.510244540833e+03
42                  	8.506697070898e+03
43                  	8.503259038079e+03
44                  	8.499310352714e+03
45                  	8.494878452374e+03
46                  	8.490487684619e+03
47                  	8.486601520738e+03
48                  	8.483309916506e+03
49                  	8.480457548176e+03
50                  	8.477860995542e+03
51                  	8.475502410276e+03
52                  	8.473491750451e+03
53                  	8.471909461725e+03
54                  	8.470734719930e+03
55                  	8.469885244930e+03
56                  	8.469309111568e+03
57                  	8.468938592228e+03
58                  	8.468734584585e+03
59                  	8.468702687161e+03
60                  	8.468820461912e+03
61                  	8.469065335928e+03
62                  	8.469385506901e+03
63                  	8.469744370401e+03
64                  	8.470126033196e+03
65                  	8.470519962885e+03
66                  	8.470916580939e+03
67                  	8.471301339141e+03
68                  	8.471657657879e+03
69                  	8.471975756033e+03
70                  	8.472256655672e+03
71                  	8.472504032781e+03
72                  	8.472718158018e+03
73                  	8.472898256993e+03
74                  	8.473043216370e+03
75                  	8.473153394683e+03
76                  	8.473233243561e+03
77                  	8.473288011886e+03
78                  	8.473323106202e+03
79                  	8.473337733059e+03
80                  	8.473334987823e+03
81                  	8.473320147198e+03
82                  	8.473296493471e+03
83                  	8.473265901503e+03
84                  	8.473230789454e+03
85                  	8.473193145312e+03
86                  	8.473154565723e+03
87                  	8.473116907821e+03
88                  	8.473081173990e+03
89                  	8.473047798312e+03
90                  	8.473017405294e+03
91                  	8.472990308778e+03
92                  	8.472966649745e+03
93                  	8.472946502433e+03
94                  	8.472929946874e+03
95                  	8.472916796830e+03
96                  	8.472906718983e+03
97                  	8.472899434846e+03
98                  	8.472894504003e+03
99                  	8.472891645021e+03
100                 	8.472890423293e+03
101                 	8.472890803916e+03
102                 	8.472892410570e+03
103                 	8.472894861897e+03
104                 	8.472897853525e+03
105                 	8.472901216660e+03
106                 	8.472904802380e+03
107                 	8.472908503639e+03
108                 	8.472912156646e+03
109                 	8.472915613741e+03
110                 	8.472918778613e+03
111                 	8.472921603388e+03
112                 	8.472924112348e+03
113                 	8.472926322434e+03
114                 	8.472928213518e+03
115                 	8.472929791811e+03
116                 	8.472931059122e+03
117                 	8.472932009738e+03
118                 	8.472932693006e+03
119                 	8.472933145129e+03
120                 	8.472933383998e+03
121                 	8.472933439395e+03
122                 	8.472933363563e+03
123                 	8.472933201076e+03
124                 	8.472932976769e+03
125                 	8.472932697078e+03
126                 	8.472932372484e+03
127                 	8.472932017826e+03
128                 	8.472931655746e+03
129                 	8.472931304344e+03
130                 	8.472930975481e+03
131                 	8.472930672255e+03
132                 	8.472930398659e+03
133                 	8.472930160130e+03
134                 	8.472929955155e+03
135                 	8.472929782868e+03
136                 	8.472929640896e+03
137                 	8.472929526922e+03
138                 	8.472929438330e+03
139                 	8.472929373645e+03
140                 	8.472929332191e+03
141                 	8.472929311215e+03
142                 	8.472929305833e+03
143                 	8.472929312936e+03
144                 	8.472929329182e+03
145                 	8.472929351952e+03
146                 	8.472929380317e+03
147                 	8.472929413210e+03
148                 	8.472929448725e+03
149                 	8.472929484184e+03
150                 	8.472929517451e+03
151                 	8.472929547565e+03
152                 	8.472929574223e+03
153                 	8.472929597858e+03
154                 	8.472929619767e+03
155                 	8.472929639858e+03
156                 	8.472929658102e+03
157                 	8.472929673205e+03
158                 	8.472929684615e+03
159                 	8.472929692105e+03
160                 	8.472929696561e+03
161                 	8.472929698560e+03
162                 	8.472929699330e+03
163                 	8.472929699684e+03
164                 	8.472929699812e+03
165                 	8.472929699513e+03
166                 	8.472929697977e+03
167                 	8.472929695080e+03
168                 	8.472929691314e+03
169                 	8.472929687808e+03
170                 	8.472929684314e+03
171                 	8.472929680567e+03
172                 	8.472929677334e+03
173                 	8.472929674847e+03
174                 	8.472929673249e+03
175                 	8.472929671723e+03
176                 	8.472929670050e+03
177                 	8.472929668186e+03
178                 	8.472929666482e+03
179                 	8.472929665264e+03
180                 	8.472929664201e+03
181                 	8.472929663878e+03
182                 	8.472929663557e+03
183                 	8.472929663794e+03
184                 	8.472929664183e+03
185                 	8.472929664327e+03
186                 	8.472929664327e+03
187                 	8.472929664050e+03
188                 	8.472929664369e+03
