# y+ ()             
# Time              	patch               	min                 	max                 	average             
200                 	walls	2.945295481467e+01	3.778507933878e+01	3.760534067884e+01
400                 	walls	2.945295481466e+01	3.778507933879e+01	3.760534067865e+01
600                 	walls	2.945295481467e+01	3.778507933875e+01	3.760534067864e+01
800                 	walls	2.945295481466e+01	3.778507933878e+01	3.760534067865e+01
1000                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067864e+01
1200                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067865e+01
1400                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067864e+01
1600                	walls	2.945295481467e+01	3.778507933877e+01	3.760534067864e+01
1800                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067866e+01
2000                	walls	2.945295481466e+01	3.778507933879e+01	3.760534067864e+01
2200                	walls	2.945295481466e+01	3.778507933874e+01	3.760534067865e+01
2400                	walls	2.945295481466e+01	3.778507933878e+01	3.760534067866e+01
2600                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067864e+01
2800                	walls	2.945295481466e+01	3.778507933878e+01	3.760534067864e+01
3000                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067866e+01
3200                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067864e+01
3400                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067866e+01
3600                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067864e+01
3800                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067865e+01
4000                	walls	2.945295481466e+01	3.778507933878e+01	3.760534067865e+01
4200                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067864e+01
4400                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067864e+01
4600                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067865e+01
4800                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067864e+01
5000                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067863e+01
5200                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067864e+01
5400                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067864e+01
5600                	walls	2.945295481466e+01	3.778507933878e+01	3.760534067865e+01
5800                	walls	2.945295481466e+01	3.778507933877e+01	3.760534067865e+01
6000                	walls	2.945295481466e+01	3.778507933876e+01	3.760534067864e+01
