# Region            : cellZone slabA
# Cells             : 30
# Volume            : 6.972459419800e-09
# Time              	volAverage(p)
1                   	5.851601295651e+03
2                   	1.070873437281e+04
3                   	1.087041141926e+04
4                   	8.063639279736e+03
5                   	6.128312513467e+03
6                   	6.740850211554e+03
7                   	8.588370401942e+03
8                   	9.585906888075e+03
9                   	9.090934832506e+03
10                  	8.042442091768e+03
11                  	7.575260847945e+03
12                  	7.899607259679e+03
13                  	8.410963580269e+03
14                  	8.527189262291e+03
15                  	8.227041306253e+03
16                  	7.889386995628e+03
17                  	7.808835895814e+03
18                  	7.951663525824e+03
19                  	8.093884565806e+03
20                  	8.090440096027e+03
21                  	7.984533101670e+03
22                  	7.906544786586e+03
23                  	7.925216620923e+03
24                  	8.002744296568e+03
25                  	8.065182826267e+03
26                  	8.081794008586e+03
27                  	8.076024268770e+03
28                  	8.086633749509e+03
29                  	8.125483952959e+03
30                  	8.174180304891e+03
31                  	8.209899174457e+03
32                  	8.227128490266e+03
33                  	8.237035047081e+03
34                  	8.251391010860e+03
35                  	8.270959256357e+03
36                  	8.288787417028e+03
37                  	8.299207470545e+03
38                  	8.302553414179e+03
39                  	8.303342604988e+03
40                  	8.305010991885e+03
41                  	8.307530081935e+03
42                  	8.308786582594e+03
43                  	8.307339093006e+03
44                  	8.304003250438e+03
45                  	8.300409310374e+03
46                  	8.297472053234e+03
47                  	8.295028625857e+03
48                  	8.292351029241e+03
49                  	8.289144647506e+03
50                  	8.285797157251e+03
51                  	8.282837055376e+03
52                  	8.280465246407e+03
53                  	8.278511470771e+03
54                  	8.276711283977e+03
55                  	8.274982137167e+03
56                  	8.273437541091e+03
57                  	8.272241106855e+03
58                  	8.271421185525e+03
59                  	8.270875000404e+03
60                  	8.270462025455e+03
61                  	8.270161213857e+03
62                  	8.269973212835e+03
63                  	8.269928068695e+03
64                  	8.270016355499e+03
65                  	8.270186488569e+03
66                  	8.270403890148e+03
67                  	8.270648101561e+03
68                  	8.270912966107e+03
69                  	8.271198133999e+03
70                  	8.271484756318e+03
71                  	8.271755949239e+03
72                  	8.272007487274e+03
73                  	8.272239149619e+03
74                  	8.272451326858e+03
75                  	8.272640421762e+03
76                  	8.272805410576e+03
77                  	8.272943881224e+03
78                  	8.273057614567e+03
79                  	8.273147256799e+03
80                  	8.273215619779e+03
81                  	8.273265498839e+03
82                  	8.273298136890e+03
83                  	8.273312673989e+03
84                  	8.273316666786e+03
85                  	8.273312466744e+03
86                  	8.273301319378e+03
87                  	8.273284905443e+03
88                  	8.273264399784e+03
89                  	8.273240734664e+03
90                  	8.273214556463e+03
91                  	8.273186628318e+03
92                  	8.273158890030e+03
93                  	8.273133383950e+03
94                  	8.273111426865e+03
95                  	8.273092940812e+03
96                  	8.273076914936e+03
97                  	8.273062069630e+03
98                  	8.273047993414e+03
99                  	8.273034816623e+03
100                 	8.273023715181e+03
101                 	8.273015692351e+03
102                 	8.273010791449e+03
103                 	8.273008170337e+03
104                 	8.273007031852e+03
105                 	8.273006935780e+03
106                 	8.273007464084e+03
107                 	8.273008057945e+03
108                 	8.273008496165e+03
109                 	8.273009246800e+03
110                 	8.273010669621e+03
111                 	8.273012949917e+03
112                 	8.273015892896e+03
113                 	8.273019033995e+03
114                 	8.273021928341e+03
115                 	8.273024320115e+03
116                 	8.273026213483e+03
117                 	8.273027693982e+03
118                 	8.273028887014e+03
119                 	8.273029926364e+03
120                 	8.273030871052e+03
121                 	8.273031776356e+03
122                 	8.273032657994e+03
123                 	8.273033472085e+03
124                 	8.273034125431e+03
125                 	8.273034535813e+03
126                 	8.273034701282e+03
127                 	8.273034637947e+03
128                 	8.273034391477e+03
129                 	8.273034076436e+03
130                 	8.273033800454e+03
131                 	8.273033633504e+03
132                 	8.273033563437e+03
133                 	8.273033504741e+03
134                 	8.273033371851e+03
135                 	8.273033142794e+03
136                 	8.273032848849e+03
137                 	8.273032556255e+03
138                 	8.273032329823e+03
139                 	8.273032197434e+03
140                 	8.273032136985e+03
141                 	8.273032097811e+03
142                 	8.273032028902e+03
143                 	8.273031908811e+03
144                 	8.273031759672e+03
145                 	8.273031635056e+03
146                 	8.273031582029e+03
147                 	8.273031615294e+03
148                 	8.273031708089e+03
149                 	8.273031802964e+03
150                 	8.273031849407e+03
151                 	8.273031827787e+03
152                 	8.273031757627e+03
153                 	8.273031682442e+03
154                 	8.273031647345e+03
155                 	8.273031676276e+03
156                 	8.273031759465e+03
157                 	8.273031860644e+03
158                 	8.273031939013e+03
159                 	8.273031967094e+03
160                 	8.273031945408e+03
161                 	8.273031898792e+03
162                 	8.273031859544e+03
163                 	8.273031849005e+03
164                 	8.273031873259e+03
165                 	8.273031919026e+03
166                 	8.273031963513e+03
167                 	8.273031988631e+03
168                 	8.273031987377e+03
169                 	8.273031965473e+03
170                 	8.273031936751e+03
171                 	8.273031915931e+03
172                 	8.273031910123e+03
173                 	8.273031919945e+03
174                 	8.273031938422e+03
175                 	8.273031955107e+03
176                 	8.273031962307e+03
177                 	8.273031957968e+03
178                 	8.273031944953e+03
179                 	8.273031929364e+03
180                 	8.273031917556e+03
181                 	8.273031912534e+03
182                 	8.273031914619e+03
183                 	8.273031921263e+03
184                 	8.273031928852e+03
185                 	8.273031934046e+03
186                 	8.273031935129e+03
187                 	8.273031932420e+03
188                 	8.273031927056e+03
189                 	8.273031921092e+03
190                 	8.273031916340e+03
191                 	8.273031914220e+03
192                 	8.273031915380e+03
193                 	8.273031919018e+03
194                 	8.273031923814e+03
195                 	8.273031927931e+03
196                 	8.273031929945e+03
197                 	8.273031929036e+03
198                 	8.273031925597e+03
199                 	8.273031920998e+03
200                 	8.273031917524e+03
201                 	8.273031916816e+03
202                 	8.273031919068e+03
203                 	8.273031923408e+03
204                 	8.273031927631e+03
205                 	8.273031929813e+03
206                 	8.273031929060e+03
207                 	8.273031925963e+03
208                 	8.273031922327e+03
209                 	8.273031920163e+03
210                 	8.273031920527e+03
211                 	8.273031922929e+03
212                 	8.273031925852e+03
213                 	8.273031927710e+03
214                 	8.273031927399e+03
215                 	8.273031925379e+03
216                 	8.273031922880e+03
217                 	8.273031921679e+03
218                 	8.273031922425e+03
219                 	8.273031924724e+03
220                 	8.273031927029e+03
221                 	8.273031927858e+03
222                 	8.273031926721e+03
223                 	8.273031924089e+03
224                 	8.273031921596e+03
225                 	8.273031920683e+03
226                 	8.273031921962e+03
227                 	8.273031924671e+03
228                 	8.273031927370e+03
229                 	8.273031928503e+03
230                 	8.273031927415e+03
231                 	8.273031924807e+03
232                 	8.273031922034e+03
233                 	8.273031920668e+03
234                 	8.273031921357e+03
235                 	8.273031923827e+03
236                 	8.273031926438e+03
237                 	8.273031927966e+03
238                 	8.273031927535e+03
239                 	8.273031925372e+03
240                 	8.273031922789e+03
241                 	8.273031921191e+03
242                 	8.273031921482e+03
243                 	8.273031923271e+03
244                 	8.273031925785e+03
245                 	8.273031927490e+03
246                 	8.273031927467e+03
247                 	8.273031925961e+03
248                 	8.273031923698e+03
249                 	8.273031921998e+03
250                 	8.273031921489e+03
251                 	8.273031922448e+03
252                 	8.273031924519e+03
253                 	8.273031926498e+03
254                 	8.273031927311e+03
255                 	8.273031926784e+03
256                 	8.273031925297e+03
257                 	8.273031923548e+03
258                 	8.273031922156e+03
259                 	8.273031921934e+03
260                 	8.273031922921e+03
261                 	8.273031924508e+03
262                 	8.273031926042e+03
263                 	8.273031926836e+03
264                 	8.273031926455e+03
265                 	8.273031925215e+03
266                 	8.273031923740e+03
267                 	8.273031922808e+03
268                 	8.273031922589e+03
269                 	8.273031923257e+03
270                 	8.273031924412e+03
271                 	8.273031925447e+03
272                 	8.273031925949e+03
273                 	8.273031925733e+03
274                 	8.273031925155e+03
275                 	8.273031924355e+03
276                 	8.273031923643e+03
277                 	8.273031923389e+03
278                 	8.273031923606e+03
279                 	8.273031924064e+03
280                 	8.273031924767e+03
281                 	8.273031925223e+03
282                 	8.273031925471e+03
283                 	8.273031925075e+03
284                 	8.273031924557e+03
285                 	8.273031924084e+03
286                 	8.273031923821e+03
287                 	8.273031923922e+03
288                 	8.273031924166e+03
289                 	8.273031924567e+03
290                 	8.273031924800e+03
291                 	8.273031924971e+03
292                 	8.273031924878e+03
293                 	8.273031924598e+03
294                 	8.273031924374e+03
295                 	8.273031924282e+03
296                 	8.273031924245e+03
297                 	8.273031924194e+03
298                 	8.273031924367e+03
299                 	8.273031924554e+03
300                 	8.273031924735e+03
301                 	8.273031924731e+03
302                 	8.273031924631e+03
303                 	8.273031924480e+03
304                 	8.273031924441e+03
305                 	8.273031924404e+03
306                 	8.273031924392e+03
307                 	8.273031924311e+03
308                 	8.273031924380e+03
309                 	8.273031924592e+03
310                 	8.273031924700e+03
311                 	8.273031924659e+03
312                 	8.273031924496e+03
313                 	8.273031924383e+03
314                 	8.273031924439e+03
315                 	8.273031924497e+03
316                 	8.273031924501e+03
317                 	8.273031924396e+03
318                 	8.273031924448e+03
319                 	8.273031924520e+03
320                 	8.273031924566e+03
321                 	8.273031924554e+03
322                 	8.273031924517e+03
323                 	8.273031924502e+03
324                 	8.273031924425e+03
325                 	8.273031924423e+03
326                 	8.273031924465e+03
327                 	8.273031924508e+03
328                 	8.273031924558e+03
329                 	8.273031924537e+03
330                 	8.273031924504e+03
331                 	8.273031924419e+03
332                 	8.273031924461e+03
333                 	8.273031924520e+03
334                 	8.273031924546e+03
335                 	8.273031924451e+03
336                 	8.273031924464e+03
337                 	8.273031924499e+03
338                 	8.273031924504e+03
