# Region            : cellZone slabB
# Cells             : 30
# Volume            : 6.972459419800e-09
# Time              	volAverage(p)
1                   	1.170295684742e+03
2                   	2.145011533952e+03
3                   	2.180137027597e+03
4                   	1.618591379561e+03
5                   	1.229174531207e+03
6                   	1.348552419587e+03
7                   	1.716686907089e+03
8                   	1.916629878610e+03
9                   	1.818624873396e+03
10                  	1.609092267628e+03
11                  	1.515118810407e+03
12                  	1.579603635723e+03
13                  	1.681922189442e+03
14                  	1.705294525797e+03
15                  	1.645309251999e+03
16                  	1.577814107272e+03
17                  	1.561702138041e+03
18                  	1.590020133247e+03
19                  	1.618485292792e+03
20                  	1.617941226820e+03
21                  	1.597307064002e+03
22                  	1.582088289547e+03
23                  	1.585838382852e+03
24                  	1.601212492778e+03
25                  	1.613894115951e+03
26                  	1.617120503404e+03
27                  	1.615686529963e+03
28                  	1.618011727603e+03
29                  	1.626025273842e+03
30                  	1.635717742173e+03
31                  	1.642602741743e+03
32                  	1.645831238370e+03
33                  	1.647790471288e+03
34                  	1.650689849574e+03
35                  	1.654461819461e+03
36                  	1.657883472623e+03
37                  	1.659830118792e+03
38                  	1.660527723827e+03
39                  	1.660764841811e+03
40                  	1.661019350512e+03
41                  	1.661398363584e+03
42                  	1.661626576419e+03
43                  	1.661425693926e+03
44                  	1.660812039715e+03
45                  	1.660083746697e+03
46                  	1.659450925918e+03
47                  	1.658937897016e+03
48                  	1.658415798025e+03
49                  	1.657793875854e+03
50                  	1.657131377279e+03
51                  	1.656544305470e+03
52                  	1.656074739901e+03
53                  	1.655692183066e+03
54                  	1.655340187433e+03
55                  	1.654996653917e+03
56                  	1.654682063270e+03
57                  	1.654439903320e+03
58                  	1.654278267102e+03
59                  	1.654177164207e+03
60                  	1.654099404966e+03
61                  	1.654040621973e+03
62                  	1.654004845203e+03
63                  	1.653998142242e+03
64                  	1.654015696851e+03
65                  	1.654043581267e+03
66                  	1.654079815662e+03
67                  	1.654125087679e+03
68                  	1.654178747478e+03
69                  	1.654238395844e+03
70                  	1.654297237398e+03
71                  	1.654351491644e+03
72                  	1.654400424445e+03
73                  	1.654443678608e+03
74                  	1.654482539382e+03
75                  	1.654518371265e+03
76                  	1.654551900552e+03
77                  	1.654582356828e+03
78                  	1.654609014459e+03
79                  	1.654629784892e+03
80                  	1.654643438109e+03
81                  	1.654651895884e+03
82                  	1.654656820794e+03
83                  	1.654659122084e+03
84                  	1.654660270483e+03
85                  	1.654660127030e+03
86                  	1.654659107568e+03
87                  	1.654656774938e+03
88                  	1.654652945231e+03
89                  	1.654647866897e+03
90                  	1.654642320196e+03
91                  	1.654636731178e+03
92                  	1.654631591301e+03
93                  	1.654627101717e+03
94                  	1.654623181449e+03
95                  	1.654619521234e+03
96                  	1.654615950327e+03
97                  	1.654612475925e+03
98                  	1.654609290646e+03
99                  	1.654606660693e+03
100                 	1.654604753201e+03
101                 	1.654603606762e+03
102                 	1.654603019625e+03
103                 	1.654602634230e+03
104                 	1.654602220805e+03
105                 	1.654601824239e+03
106                 	1.654601583438e+03
107                 	1.654601582095e+03
108                 	1.654601703064e+03
109                 	1.654601935331e+03
110                 	1.654602277950e+03
111                 	1.654602748173e+03
112                 	1.654603295583e+03
113                 	1.654603839408e+03
114                 	1.654604344170e+03
115                 	1.654604819385e+03
116                 	1.654605272914e+03
117                 	1.654605672973e+03
118                 	1.654605969509e+03
119                 	1.654606142281e+03
120                 	1.654606216142e+03
121                 	1.654606267739e+03
122                 	1.654606354873e+03
123                 	1.654606508467e+03
124                 	1.654606709542e+03
125                 	1.654606916064e+03
126                 	1.654607063190e+03
127                 	1.654607098086e+03
128                 	1.654607013742e+03
129                 	1.654606857052e+03
130                 	1.654606696198e+03
131                 	1.654606597133e+03
132                 	1.654606585540e+03
133                 	1.654606632955e+03
134                 	1.654606682030e+03
135                 	1.654606688828e+03
136                 	1.654606636754e+03
137                 	1.654606544759e+03
138                 	1.654606453889e+03
139                 	1.654606400318e+03
140                 	1.654606395406e+03
141                 	1.654606420477e+03
142                 	1.654606440919e+03
143                 	1.654606426838e+03
144                 	1.654606373095e+03
145                 	1.654606302377e+03
146                 	1.654606249975e+03
147                 	1.654606244875e+03
148                 	1.654606290866e+03
149                 	1.654606365475e+03
150                 	1.654606431155e+03
151                 	1.654606455821e+03
152                 	1.654606429342e+03
153                 	1.654606366163e+03
154                 	1.654606298284e+03
155                 	1.654606259216e+03
156                 	1.654606266664e+03
157                 	1.654606315422e+03
158                 	1.654606382062e+03
159                 	1.654606436701e+03
160                 	1.654606457932e+03
161                 	1.654606442012e+03
162                 	1.654606402149e+03
163                 	1.654606359373e+03
164                 	1.654606334005e+03
165                 	1.654606335080e+03
166                 	1.654606358228e+03
167                 	1.654606390102e+03
168                 	1.654606415612e+03
169                 	1.654606424706e+03
170                 	1.654606416368e+03
171                 	1.654606397659e+03
172                 	1.654606378410e+03
173                 	1.654606367387e+03
174                 	1.654606367944e+03
175                 	1.654606377315e+03
176                 	1.654606389386e+03
177                 	1.654606398212e+03
178                 	1.654606400286e+03
179                 	1.654606395885e+03
180                 	1.654606388286e+03
181                 	1.654606381278e+03
182                 	1.654606377691e+03
183                 	1.654606378226e+03
184                 	1.654606381574e+03
185                 	1.654606385402e+03
186                 	1.654606387958e+03
187                 	1.654606388495e+03
188                 	1.654606387365e+03
189                 	1.654606385621e+03
190                 	1.654606384248e+03
191                 	1.654606383553e+03
192                 	1.654606383473e+03
193                 	1.654606383559e+03
194                 	1.654606383580e+03
195                 	1.654606383574e+03
196                 	1.654606383853e+03
197                 	1.654606384587e+03
198                 	1.654606385619e+03
199                 	1.654606386473e+03
200                 	1.654606386628e+03
201                 	1.654606385858e+03
202                 	1.654606384370e+03
203                 	1.654606382886e+03
204                 	1.654606382153e+03
205                 	1.654606382679e+03
206                 	1.654606384303e+03
207                 	1.654606386287e+03
208                 	1.654606387669e+03
209                 	1.654606387750e+03
210                 	1.654606386465e+03
211                 	1.654606384406e+03
212                 	1.654606382580e+03
213                 	1.654606381887e+03
214                 	1.654606382621e+03
215                 	1.654606384410e+03
216                 	1.654606386334e+03
217                 	1.654606387517e+03
218                 	1.654606387408e+03
219                 	1.654606386192e+03
220                 	1.654606384513e+03
221                 	1.654606383192e+03
222                 	1.654606382834e+03
223                 	1.654606383485e+03
224                 	1.654606384716e+03
225                 	1.654606385854e+03
226                 	1.654606386376e+03
227                 	1.654606386069e+03
228                 	1.654606385218e+03
229                 	1.654606384335e+03
230                 	1.654606383887e+03
231                 	1.654606384068e+03
232                 	1.654606384727e+03
233                 	1.654606385433e+03
234                 	1.654606385768e+03
235                 	1.654606385603e+03
236                 	1.654606384999e+03
237                 	1.654606384354e+03
238                 	1.654606383983e+03
239                 	1.654606384086e+03
240                 	1.654606384582e+03
241                 	1.654606385242e+03
242                 	1.654606385743e+03
243                 	1.654606385804e+03
244                 	1.654606385477e+03
245                 	1.654606384909e+03
246                 	1.654606384339e+03
247                 	1.654606384059e+03
248                 	1.654606384145e+03
249                 	1.654606384540e+03
250                 	1.654606385031e+03
251                 	1.654606385422e+03
252                 	1.654606385577e+03
253                 	1.654606385455e+03
254                 	1.654606385127e+03
255                 	1.654606384757e+03
256                 	1.654606384510e+03
257                 	1.654606384440e+03
258                 	1.654606384511e+03
259                 	1.654606384696e+03
260                 	1.654606384936e+03
261                 	1.654606385125e+03
262                 	1.654606385219e+03
263                 	1.654606385219e+03
264                 	1.654606385113e+03
265                 	1.654606384940e+03
266                 	1.654606384758e+03
267                 	1.654606384658e+03
268                 	1.654606384617e+03
269                 	1.654606384678e+03
270                 	1.654606384824e+03
271                 	1.654606384981e+03
272                 	1.654606385090e+03
273                 	1.654606385121e+03
274                 	1.654606385101e+03
275                 	1.654606385008e+03
276                 	1.654606384866e+03
277                 	1.654606384742e+03
278                 	1.654606384677e+03
279                 	1.654606384686e+03
280                 	1.654606384802e+03
281                 	1.654606384940e+03
282                 	1.654606385080e+03
283                 	1.654606385096e+03
284                 	1.654606385046e+03
285                 	1.654606384939e+03
286                 	1.654606384824e+03
287                 	1.654606384766e+03
288                 	1.654606384751e+03
289                 	1.654606384808e+03
290                 	1.654606384873e+03
291                 	1.654606384961e+03
292                 	1.654606385009e+03
293                 	1.654606384996e+03
294                 	1.654606384958e+03
295                 	1.654606384908e+03
296                 	1.654606384854e+03
297                 	1.654606384801e+03
298                 	1.654606384818e+03
299                 	1.654606384865e+03
300                 	1.654606384920e+03
301                 	1.654606384948e+03
302                 	1.654606384954e+03
303                 	1.654606384934e+03
304                 	1.654606384920e+03
305                 	1.654606384891e+03
306                 	1.654606384866e+03
307                 	1.654606384840e+03
308                 	1.654606384855e+03
309                 	1.654606384905e+03
310                 	1.654606384942e+03
311                 	1.654606384943e+03
312                 	1.654606384912e+03
313                 	1.654606384885e+03
314                 	1.654606384891e+03
315                 	1.654606384894e+03
316                 	1.654606384892e+03
317                 	1.654606384873e+03
318                 	1.654606384886e+03
319                 	1.654606384905e+03
320                 	1.654606384920e+03
321                 	1.654606384918e+03
322                 	1.654606384908e+03
323                 	1.654606384900e+03
324                 	1.654606384880e+03
325                 	1.654606384876e+03
326                 	1.654606384890e+03
327                 	1.654606384901e+03
328                 	1.654606384913e+03
329                 	1.654606384910e+03
330                 	1.654606384908e+03
331                 	1.654606384887e+03
332                 	1.654606384891e+03
333                 	1.654606384903e+03
334                 	1.654606384907e+03
335                 	1.654606384885e+03
336                 	1.654606384891e+03
337                 	1.654606384898e+03
338                 	1.654606384902e+03
339                 	1.654606384908e+03
340                 	1.654606384910e+03
341                 	1.654606384877e+03
342                 	1.654606384895e+03
343                 	1.654606384908e+03
344                 	1.654606384906e+03
345                 	1.654606384896e+03
346                 	1.654606384896e+03
347                 	1.654606384885e+03
348                 	1.654606384890e+03
349                 	1.654606384894e+03
350                 	1.654606384914e+03
351                 	1.654606384922e+03
352                 	1.654606384907e+03
353                 	1.654606384868e+03
354                 	1.654606384884e+03
355                 	1.654606384908e+03
356                 	1.654606384925e+03
357                 	1.654606384899e+03
358                 	1.654606384886e+03
359                 	1.654606384886e+03
360                 	1.654606384905e+03
361                 	1.654606384905e+03
362                 	1.654606384890e+03
363                 	1.654606384888e+03
364                 	1.654606384895e+03
365                 	1.654606384894e+03
366                 	1.654606384910e+03
367                 	1.654606384914e+03
368                 	1.654606384904e+03
369                 	1.654606384888e+03
370                 	1.654606384885e+03
371                 	1.654606384895e+03
372                 	1.654606384908e+03
373                 	1.654606384901e+03
374                 	1.654606384896e+03
375                 	1.654606384898e+03
376                 	1.654606384897e+03
377                 	1.654606384893e+03
378                 	1.654606384894e+03
379                 	1.654606384904e+03
380                 	1.654606384920e+03
381                 	1.654606384897e+03
382                 	1.654606384889e+03
383                 	1.654606384885e+03
384                 	1.654606384898e+03
385                 	1.654606384896e+03
386                 	1.654606384908e+03
387                 	1.654606384907e+03
388                 	1.654606384900e+03
389                 	1.654606384888e+03
390                 	1.654606384884e+03
391                 	1.654606384896e+03
392                 	1.654606384913e+03
393                 	1.654606384903e+03
394                 	1.654606384892e+03
395                 	1.654606384890e+03
