# y+ ()             
# Time              	patch               	min                 	max                 	average             
200                 	walls	3.862609869621e+01	5.977523448561e+01	5.941443665272e+01
400                 	walls	3.862609869605e+01	5.977523448223e+01	5.941443665642e+01
600                 	walls	3.862609869605e+01	5.977523448145e+01	5.941443665703e+01
800                 	walls	3.862609869605e+01	5.977523448125e+01	5.941443665716e+01
1000                	walls	3.862609869605e+01	5.977523448120e+01	5.941443665719e+01
1200                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665720e+01
1400                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665720e+01
1600                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665721e+01
1800                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665720e+01
2000                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665720e+01
2200                	walls	3.862609869606e+01	5.977523448119e+01	5.941443665721e+01
2400                	walls	3.862609869606e+01	5.977523448119e+01	5.941443665720e+01
2600                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665720e+01
2800                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665721e+01
3000                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665720e+01
3200                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665720e+01
3400                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665721e+01
3600                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665721e+01
3800                	walls	3.862609869606e+01	5.977523448119e+01	5.941443665720e+01
4000                	walls	3.862609869605e+01	5.977523448119e+01	5.941443665721e+01
