# y+ ()             
# Time              	patch               	min                 	max                 	average             
200                 	walls	2.933715286081e+01	3.744062685182e+01	3.718716207847e+01
400                 	walls	2.933715286089e+01	3.744062685184e+01	3.718716207863e+01
600                 	walls	2.933715286092e+01	3.744062685183e+01	3.718716207867e+01
800                 	walls	2.933715286077e+01	3.744062685183e+01	3.718716207865e+01
1000                	walls	2.933715286081e+01	3.744062685182e+01	3.718716207865e+01
1200                	walls	2.933715286069e+01	3.744062685181e+01	3.718716207865e+01
1400                	walls	2.933715286078e+01	3.744062685182e+01	3.718716207865e+01
1600                	walls	2.933715286068e+01	3.744062685180e+01	3.718716207866e+01
1800                	walls	2.933715286079e+01	3.744062685184e+01	3.718716207865e+01
2000                	walls	2.933715286069e+01	3.744062685181e+01	3.718716207865e+01
2200                	walls	2.933715286082e+01	3.744062685180e+01	3.718716207863e+01
2400                	walls	2.933715286082e+01	3.744062685179e+01	3.718716207864e+01
2600                	walls	2.933715286082e+01	3.744062685182e+01	3.718716207866e+01
2800                	walls	2.933715286081e+01	3.744062685184e+01	3.718716207865e+01
3000                	walls	2.933715286068e+01	3.744062685182e+01	3.718716207865e+01
3200                	walls	2.933715286081e+01	3.744062685183e+01	3.718716207863e+01
3400                	walls	2.933715286072e+01	3.744062685181e+01	3.718716207865e+01
3600                	walls	2.933715286074e+01	3.744062685183e+01	3.718716207865e+01
3800                	walls	2.933715286078e+01	3.744062685181e+01	3.718716207863e+01
4000                	walls	2.933715286064e+01	3.744062685180e+01	3.718716207864e+01
4200                	walls	2.933715286087e+01	3.744062685183e+01	3.718716207865e+01
4400                	walls	2.933715286081e+01	3.744062685182e+01	3.718716207865e+01
4600                	walls	2.933715286080e+01	3.744062685183e+01	3.718716207864e+01
4800                	walls	2.933715286084e+01	3.744062685183e+01	3.718716207864e+01
5000                	walls	2.933715286082e+01	3.744062685182e+01	3.718716207864e+01
5200                	walls	2.933715286079e+01	3.744062685185e+01	3.718716207865e+01
5400                	walls	2.933715286079e+01	3.744062685180e+01	3.718716207864e+01
5600                	walls	2.933715286083e+01	3.744062685182e+01	3.718716207864e+01
5800                	walls	2.933715286087e+01	3.744062685184e+01	3.718716207863e+01
6000                	walls	2.933715286081e+01	3.744062685182e+01	3.718716207863e+01
6200                	walls	2.933715286090e+01	3.744062685185e+01	3.718716207865e+01
6400                	walls	2.933715286068e+01	3.744062685177e+01	3.718716207864e+01
6600                	walls	2.933715286073e+01	3.744062685182e+01	3.718716207863e+01
6800                	walls	2.933715286071e+01	3.744062685182e+01	3.718716207865e+01
7000                	walls	2.933715286083e+01	3.744062685185e+01	3.718716207863e+01
7200                	walls	2.933715286079e+01	3.744062685181e+01	3.718716207866e+01
7400                	walls	2.933715286080e+01	3.744062685180e+01	3.718716207864e+01
7600                	walls	2.933715286080e+01	3.744062685183e+01	3.718716207866e+01
7800                	walls	2.933715286080e+01	3.744062685183e+01	3.718716207865e+01
8000                	walls	2.933715286079e+01	3.744062685183e+01	3.718716207864e+01
8200                	walls	2.933715286078e+01	3.744062685181e+01	3.718716207864e+01
8400                	walls	2.933715286081e+01	3.744062685181e+01	3.718716207865e+01
8600                	walls	2.933715286084e+01	3.744062685181e+01	3.718716207864e+01
8800                	walls	2.933715286066e+01	3.744062685181e+01	3.718716207865e+01
9000                	walls	2.933715286080e+01	3.744062685181e+01	3.718716207864e+01
9200                	walls	2.933715286070e+01	3.744062685182e+01	3.718716207864e+01
9400                	walls	2.933715286079e+01	3.744062685184e+01	3.718716207863e+01
9600                	walls	2.933715286081e+01	3.744062685185e+01	3.718716207864e+01
9800                	walls	2.933715286091e+01	3.744062685183e+01	3.718716207865e+01
10000               	walls	2.933715286070e+01	3.744062685179e+01	3.718716207864e+01
10200               	walls	2.933715286083e+01	3.744062685181e+01	3.718716207864e+01
10400               	walls	2.933715286081e+01	3.744062685182e+01	3.718716207864e+01
10600               	walls	2.933715286088e+01	3.744062685183e+01	3.718716207865e+01
10800               	walls	2.933715286069e+01	3.744062685181e+01	3.718716207865e+01
11000               	walls	2.933715286082e+01	3.744062685183e+01	3.718716207866e+01
11200               	walls	2.933715286083e+01	3.744062685182e+01	3.718716207866e+01
11400               	walls	2.933715286077e+01	3.744062685181e+01	3.718716207863e+01
11600               	walls	2.933715286090e+01	3.744062685184e+01	3.718716207865e+01
11800               	walls	2.933715286077e+01	3.744062685184e+01	3.718716207865e+01
12000               	walls	2.933715286083e+01	3.744062685183e+01	3.718716207864e+01
12200               	walls	2.933715286081e+01	3.744062685184e+01	3.718716207865e+01
12400               	walls	2.933715286080e+01	3.744062685182e+01	3.718716207865e+01
12600               	walls	2.933715286077e+01	3.744062685182e+01	3.718716207865e+01
12800               	walls	2.933715286087e+01	3.744062685183e+01	3.718716207866e+01
13000               	walls	2.933715286073e+01	3.744062685181e+01	3.718716207866e+01
13200               	walls	2.933715286081e+01	3.744062685182e+01	3.718716207864e+01
13400               	walls	2.933715286077e+01	3.744062685183e+01	3.718716207866e+01
13600               	walls	2.933715286081e+01	3.744062685183e+01	3.718716207865e+01
13800               	walls	2.933715286088e+01	3.744062685185e+01	3.718716207864e+01
14000               	walls	2.933715286083e+01	3.744062685184e+01	3.718716207864e+01
14200               	walls	2.933715286080e+01	3.744062685182e+01	3.718716207864e+01
14400               	walls	2.933715286069e+01	3.744062685179e+01	3.718716207864e+01
14600               	walls	2.933715286078e+01	3.744062685184e+01	3.718716207865e+01
14800               	walls	2.933715286078e+01	3.744062685182e+01	3.718716207864e+01
15000               	walls	2.933715286074e+01	3.744062685180e+01	3.718716207864e+01
