# Region            : cellZone slabA
# Cells             : 26
# Volume            : 7.139798445863e-09
# Time              	volAverage(p)
1                   	7.045584234447e+03
2                   	1.319775977295e+04
3                   	1.377455023188e+04
4                   	1.051303016639e+04
5                   	7.631503783161e+03
6                   	7.303101728920e+03
7                   	8.607105254130e+03
8                   	9.551535504303e+03
9                   	9.233182738107e+03
10                  	8.214032359786e+03
11                  	7.495459977961e+03
12                  	7.497996234782e+03
13                  	7.882367628406e+03
14                  	8.116339797577e+03
15                  	8.002951338887e+03
16                  	7.725713939238e+03
17                  	7.554662348853e+03
18                  	7.580166641857e+03
19                  	7.702566599359e+03
20                  	7.787691847773e+03
21                  	7.792011588329e+03
22                  	7.770366094975e+03
23                  	7.785560359795e+03
24                  	7.851231167348e+03
25                  	7.936382025352e+03
26                  	8.005782190729e+03
27                  	8.049187718328e+03
28                  	8.079897155563e+03
29                  	8.113978903211e+03
30                  	8.155191810564e+03
31                  	8.196124351902e+03
32                  	8.228506849709e+03
33                  	8.250476896174e+03
34                  	8.266197752919e+03
35                  	8.280098653469e+03
36                  	8.293502507242e+03
37                  	8.305171862076e+03
38                  	8.313427596810e+03
39                  	8.318157663314e+03
40                  	8.320612189190e+03
41                  	8.322132146580e+03
42                  	8.323229100417e+03
43                  	8.323681403697e+03
44                  	8.323214307638e+03
45                  	8.321935767560e+03
46                  	8.320248833542e+03
47                  	8.318520643546e+03
48                  	8.316853207411e+03
49                  	8.315186761159e+03
50                  	8.313464069580e+03
51                  	8.311727612746e+03
52                  	8.310073225392e+03
53                  	8.308589770613e+03
54                  	8.307291454072e+03
55                  	8.306145068639e+03
56                  	8.305118934554e+03
57                  	8.304205552083e+03
58                  	8.303415744420e+03
59                  	8.302751246658e+03
60                  	8.302208345779e+03
61                  	8.301770247885e+03
62                  	8.301415707983e+03
63                  	8.301129871479e+03
64                  	8.300906697468e+03
65                  	8.300741422565e+03
66                  	8.300627317331e+03
67                  	8.300554867746e+03
68                  	8.300513596732e+03
69                  	8.300494820396e+03
70                  	8.300494192011e+03
71                  	8.300507610620e+03
72                  	8.300532129997e+03
73                  	8.300564675453e+03
74                  	8.300602591540e+03
75                  	8.300643293646e+03
76                  	8.300684346129e+03
77                  	8.300724548630e+03
78                  	8.300763118154e+03
79                  	8.300799323637e+03
80                  	8.300832593671e+03
81                  	8.300862645468e+03
82                  	8.300889331495e+03
83                  	8.300912708669e+03
84                  	8.300933123757e+03
85                  	8.300950808456e+03
86                  	8.300965829383e+03
87                  	8.300978340992e+03
88                  	8.300988562177e+03
89                  	8.300996743779e+03
90                  	8.301003152978e+03
91                  	8.301008042452e+03
92                  	8.301011614864e+03
93                  	8.301014090010e+03
94                  	8.301015706359e+03
95                  	8.301016654967e+03
96                  	8.301017056226e+03
97                  	8.301017022105e+03
98                  	8.301016671351e+03
99                  	8.301016107674e+03
100                 	8.301015398391e+03
101                 	8.301014573872e+03
102                 	8.301013654624e+03
103                 	8.301012685507e+03
104                 	8.301011719282e+03
105                 	8.301010806981e+03
106                 	8.301009980824e+03
107                 	8.301009250096e+03
108                 	8.301008607014e+03
109                 	8.301008038304e+03
110                 	8.301007528396e+03
111                 	8.301007064081e+03
112                 	8.301006647487e+03
113                 	8.301006285167e+03
114                 	8.301005986858e+03
115                 	8.301005753590e+03
116                 	8.301005579809e+03
117                 	8.301005454367e+03
118                 	8.301005363000e+03
119                 	8.301005292475e+03
120                 	8.301005234701e+03
121                 	8.301005188496e+03
122                 	8.301005155714e+03
