# y+ ()             
# Time              	patch               	min                 	max                 	average             
200                 	walls	2.370093762922e+01	3.722112285862e+01	3.706222424856e+01
400                 	walls	2.370093715978e+01	3.722112299102e+01	3.706222094310e+01
600                 	walls	2.370093715920e+01	3.722112299166e+01	3.706222094291e+01
800                 	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
1000                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
1200                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
1400                	walls	2.370093715920e+01	3.722112299161e+01	3.706222094291e+01
1600                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
1800                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
2000                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
2200                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
2400                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
2600                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
2800                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
3000                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
3200                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
3400                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
3600                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
3800                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
4000                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
4200                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094290e+01
4400                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
4600                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094290e+01
4800                	walls	2.370093715920e+01	3.722112299161e+01	3.706222094291e+01
5000                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
5200                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
5400                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
5600                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
5800                	walls	2.370093715920e+01	3.722112299160e+01	3.706222094291e+01
