# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
1                   	DILUPBiCGStab	1.000000000000e+00	4.600416814870e-02	1	9.999991582060e-01	3.105789188520e-02	1	false	DICPCG	1.000000000000e+00	9.975620826950e-03	21	true
2                   	DILUPBiCGStab	1.165090363940e-01	1.132129734220e-02	1	3.001647449890e-01	5.795555140740e-03	1	false	DICPCG	3.043735236840e-01	3.008412102340e-03	14	true
3                   	DILUPBiCGStab	5.409868044000e-02	4.491348717760e-03	1	1.793683569130e-01	3.444013792660e-03	1	false	DICPCG	1.564716835420e-01	1.445563337370e-03	19	true
4                   	DILUPBiCGStab	3.623508211400e-02	2.176834727220e-03	1	1.143988041220e-01	2.046073924380e-03	1	false	DICPCG	1.073295058200e-01	9.022773043420e-04	19	true
5                   	DILUPBiCGStab	2.837551315750e-02	1.324873328990e-03	1	7.658262406690e-02	1.388008692670e-03	1	false	DICPCG	7.991982324180e-02	7.347983990490e-04	18	true
6                   	DILUPBiCGStab	2.388276854580e-02	9.117589460300e-04	1	5.785090550930e-02	1.105403692000e-03	1	false	DICPCG	6.779420182540e-02	5.889694687120e-04	17	true
7                   	DILUPBiCGStab	2.090286043710e-02	6.784486776300e-04	1	4.745464664780e-02	8.479337150270e-04	1	false	DICPCG	5.976342200320e-02	5.363858993810e-04	16	true
8                   	DILUPBiCGStab	1.874967529800e-02	5.319071703200e-04	1	4.252558222600e-02	7.798617589760e-04	1	false	DICPCG	5.285376498660e-02	4.316984020510e-04	16	true
9                   	DILUPBiCGStab	1.710637230040e-02	4.329414569600e-04	1	3.819820557540e-02	7.283671232110e-04	1	false	DICPCG	4.722148695770e-02	4.562515977070e-04	15	true
10                  	DILUPBiCGStab	1.580620088710e-02	3.625897448590e-04	1	3.467979015990e-02	6.678533252650e-04	1	false	DICPCG	4.279360269680e-02	3.968295522830e-04	15	true
11                  	DILUPBiCGStab	1.474494543240e-02	3.104703074380e-04	1	3.150654297130e-02	6.089987055890e-04	1	false	DICPCG	3.866801380540e-02	3.516456581570e-04	15	true
12                  	DILUPBiCGStab	1.385671791880e-02	2.706311209360e-04	1	2.871027150490e-02	5.525844080520e-04	1	false	DICPCG	3.510819901400e-02	3.160868917080e-04	15	true
13                  	DILUPBiCGStab	1.310598568450e-02	2.395366045550e-04	1	2.628232341250e-02	4.981592888720e-04	1	false	DICPCG	3.215584935540e-02	2.871054297910e-04	15	true
14                  	DILUPBiCGStab	1.245407723290e-02	2.146425643600e-04	1	2.421591970270e-02	4.452457352280e-04	1	false	DICPCG	2.951476855210e-02	2.632699484160e-04	15	true
15                  	DILUPBiCGStab	1.188861552990e-02	1.945137655210e-04	1	2.243970408710e-02	3.945326185840e-04	1	false	DICPCG	2.717801151390e-02	2.428559871290e-04	15	true
16                  	DILUPBiCGStab	1.138652599560e-02	1.779157256330e-04	1	2.090755888580e-02	2.039869238670e-03	1	false	DICPCG	2.517773689370e-02	2.198997334330e-04	15	true
17                  	DILUPBiCGStab	1.094222100890e-02	1.641545296860e-04	1	2.017473634070e-02	1.821250080780e-03	1	false	DICPCG	2.325979029680e-02	2.129025120500e-04	15	true
18                  	DILUPBiCGStab	1.054135110130e-02	1.525630162190e-04	1	1.903051785550e-02	1.576780160870e-03	1	false	DICPCG	2.174668108720e-02	1.996716608090e-04	15	true
19                  	DILUPBiCGStab	1.018077908610e-02	1.427696385950e-04	1	1.791404557480e-02	1.381313902220e-03	1	false	DICPCG	2.037864336530e-02	1.873899670500e-04	15	true
20                  	DILUPBiCGStab	9.852517289550e-03	1.344425518070e-04	1	1.691282983090e-02	1.215946007540e-03	1	false	DICPCG	1.915196356620e-02	1.765734156340e-04	15	true
