# Solver information
# Time              	U_solver            	Ux_initial          	Ux_final            	Ux_iters            	Uy_initial          	Uy_final            	Uy_iters            	U_converged         	p_solver            	p_initial           	p_final             	p_iters             	p_converged         
1                   	DILUPBiCGStab	1.000000000000e+00	4.210662460560e-02	1	1.000000000000e+00	1.714311548820e-02	1	false	DICPCG	1.000000000000e+00	9.340295018570e-03	66	true
2                   	DILUPBiCGStab	2.193127371870e-01	2.649979693630e-03	1	2.947274179310e-01	2.189032668140e-02	1	false	DICPCG	1.368497713660e-01	1.325535156180e-03	72	true
3                   	DILUPBiCGStab	8.923241415790e-02	9.952938546620e-04	1	1.622680930980e-01	9.889848970690e-03	1	false	DICPCG	1.068254572320e-01	8.363980626190e-04	65	true
4                   	DILUPBiCGStab	5.201920848040e-02	5.688382202830e-04	1	9.479421950420e-02	8.015808824710e-03	1	false	DICPCG	7.282396114110e-02	6.359172650820e-04	71	true
5                   	DILUPBiCGStab	3.566792117310e-02	3.785348678360e-04	1	6.899529290260e-02	6.594054332510e-03	1	false	DICPCG	5.554934899450e-02	4.966448662690e-04	71	true
6                   	DILUPBiCGStab	2.680941266710e-02	2.776768880380e-04	1	5.429284158020e-02	5.939463157490e-04	1	false	DICPCG	4.328235493700e-02	3.915261280730e-04	71	true
7                   	DILUPBiCGStab	2.140169500650e-02	2.255338885220e-04	1	4.392738178880e-02	4.928109128730e-04	1	false	DICPCG	3.433101468470e-02	3.413955193180e-04	71	true
8                   	DILUPBiCGStab	1.767422522410e-02	1.850959408740e-04	1	3.726245936660e-02	4.085376966090e-04	1	false	DICPCG	2.895103021720e-02	2.067588981180e-04	72	true
9                   	DILUPBiCGStab	1.492879757020e-02	1.520006415680e-04	1	3.250802280220e-02	3.455238148100e-04	1	false	DICPCG	2.605681647460e-02	2.563354813600e-04	71	true
10                  	DILUPBiCGStab	1.286002548120e-02	1.254679150130e-04	1	2.873188678770e-02	3.005247060030e-04	1	false	DICPCG	2.372595676680e-02	2.205579130600e-04	71	true
11                  	DILUPBiCGStab	1.128818753330e-02	1.050022082420e-04	1	2.568382283360e-02	2.662126858450e-04	1	false	DICPCG	2.152988637320e-02	2.120977246500e-04	71	true
12                  	DILUPBiCGStab	1.004278426510e-02	9.975887204710e-04	1	2.324759747750e-02	2.399750731930e-04	1	false	DICPCG	1.961824492260e-02	1.743971396620e-04	72	true
13                  	DILUPBiCGStab	9.216028501070e-03	8.979022120650e-04	1	2.112032873480e-02	2.176884906630e-04	1	false	DICPCG	1.853517570860e-02	1.644010144010e-04	72	true
14                  	DILUPBiCGStab	8.445802346950e-03	8.056406962130e-04	1	1.944940355190e-02	2.016479466670e-04	1	false	DICPCG	1.774431959950e-02	1.627397494790e-04	72	true
15                  	DILUPBiCGStab	7.786011828000e-03	7.335638982910e-04	1	1.799875015630e-02	1.887130782420e-04	1	false	DICPCG	1.725778799870e-02	1.677200588610e-04	71	true
16                  	DILUPBiCGStab	7.223732225150e-03	6.748398754600e-04	1	1.672863897340e-02	1.770701076310e-04	1	false	DICPCG	1.682367412450e-02	1.533124300140e-04	71	true
17                  	DILUPBiCGStab	6.767644712520e-03	6.244038728620e-04	1	1.560586253770e-02	1.671886171640e-04	1	false	DICPCG	1.628046971610e-02	1.463517033430e-04	71	true
18                  	DILUPBiCGStab	6.387851078430e-03	5.797616034910e-04	1	1.457785935730e-02	1.583279626430e-04	1	false	DICPCG	1.570210944080e-02	1.371494116680e-04	71	true
19                  	DILUPBiCGStab	6.046322463650e-03	5.401490325260e-04	1	1.363619784530e-02	1.500826821400e-04	1	false	DICPCG	1.505912088040e-02	1.270812109440e-04	71	true
20                  	DILUPBiCGStab	5.746135543580e-03	5.053740348990e-04	1	1.278459743160e-02	1.424774404430e-04	1	false	DICPCG	1.439927780460e-02	1.154170048970e-04	71	true
21                  	DILUPBiCGStab	5.494299594970e-03	4.762120867330e-04	1	1.201497905680e-02	1.356787243210e-04	1	false	DICPCG	1.381335178650e-02	1.075714160880e-04	71	true
22                  	DILUPBiCGStab	5.262296518020e-03	4.494118754280e-04	1	1.131092465630e-02	1.290484962310e-04	1	false	DICPCG	1.322745431100e-02	9.635654411800e-05	71	true
23                  	DILUPBiCGStab	5.045039580470e-03	4.256898813050e-04	1	1.065936001920e-02	1.227127942240e-04	1	false	DICPCG	1.263651968680e-02	1.225667339510e-04	70	true
24                  	DILUPBiCGStab	4.850722405180e-03	4.043975625740e-04	1	1.006757234130e-02	1.166786140980e-04	1	false	DICPCG	1.210873070450e-02	1.148213705090e-04	70	true
