# Region type : patch inlet
# Faces         : 22
# Area          : 5.76317345e-06
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.2e-09         	-5.83159609e-09
2.6400002e-09   	-1.28291947e-08
4.3680003e-09   	-2.12257766e-08
6.4416007e-09   	-3.13011958e-08
8.9299207e-09   	-4.33912663e-08
1.1915905e-08   	-5.78989586e-08
1.5499086e-08   	-7.53078369e-08
1.9798902e-08   	-9.61981284e-08
2.4958683e-08   	-1.21266142e-07
3.1150419e-08   	-1.51347325e-07
3.85805e-08     	-1.87444302e-07
4.7496595e-08   	-2.30760129e-07
5.8195908e-08   	-2.82738391e-07
7.1035078e-08   	-3.45111338e-07
8.6442078e-08   	-4.19957570e-07
1.0493048e-07   	-5.09771262e-07
1.2711658e-07   	-6.17545412e-07
1.5373988e-07   	-7.46870712e-07
1.8568786e-07   	-9.02056130e-07
2.2402542e-07   	-1.08827133e-06
2.7003038e-07   	-1.31171836e-06
3.2523633e-07   	-1.57984012e-06
3.9148347e-07   	-1.90156460e-06
4.7097983e-07   	-2.28760140e-06
5.6637516e-07   	-2.75079812e-06
6.8084933e-07   	-3.30656541e-06
8.1821771e-07   	-3.97338268e-06
9.8306022e-07   	-4.77341434e-06
1.1808725e-06   	-5.73323054e-06
1.4182445e-06   	-6.88464342e-06
1.7030881e-06   	-8.26576864e-06
2.0448986e-06   	-9.92221029e-06
2.4550711e-06   	-1.19084357e-05
2.94727e-06     	-1.42892418e-05
3.537903e-06    	-1.71413284e-05
4.2466708e-06   	-2.05541703e-05
5.0971561e-06   	-2.46279539e-05
6.1177731e-06   	-2.94648039e-05
7.3425136e-06   	-3.51424021e-05
8.8122382e-06   	-4.17076756e-05
1.0575908e-05   	-4.93315569e-05
1.2692311e-05   	-5.81408528e-05
1.5231672e-05   	-6.79398262e-05
1.8278596e-05   	-7.81339039e-05
2.1798244e-05   	-8.72688534e-05
2.5742197e-05   	-9.33930592e-05
2.9775459e-05   	-9.35413520e-05
3.3878432e-05   	-9.34192290e-05
3.8015469e-05   	-1.07975118e-04
4.1513357e-05   	-1.28942679e-04
4.4404904e-05   	-1.48170117e-04
4.6942007e-05   	-1.63478295e-04
4.9286662e-05   	-1.48484504e-04
5.1893608e-05   	-1.40141000e-04
5.4682536e-05   	-1.47649560e-04
5.7367557e-05   	-1.54759399e-04
5.9914338e-05   	-1.61378702e-04
6.2359022e-05   	-1.67577037e-04
6.4728512e-05   	-1.73441047e-04
6.7035821e-05   	-1.79046901e-04
6.9275497e-05   	-1.84416670e-04
7.1449949e-05   	-1.89554491e-04
7.3563306e-05   	-1.94459682e-04
7.5620599e-05   	-1.99140175e-04
7.7627145e-05   	-2.03614085e-04
7.9587314e-05   	-2.07903160e-04
8.1505414e-05   	-2.12026325e-04
8.3384272e-05   	-2.15994383e-04
8.5226482e-05   	-2.19813561e-04
8.7033769e-05   	-2.23488598e-04
8.8807108e-05   	-2.27025145e-04
9.0548052e-05   	-2.30431313e-04
9.2258938e-05   	-2.33716182e-04
9.3941638e-05   	-2.36886940e-04
9.5597893e-05   	-2.39949094e-04
9.7229321e-05   	-2.42907228e-04
9.8837175e-05   	-2.45765584e-04
0.00010042288   	-2.48529005e-04
0.00010198779   	-2.51202376e-04
0.00010353314   	-2.53790223e-04
0.0001050599    	-2.56296300e-04
0.0001065692    	-2.58724169e-04
0.00010806187   	-2.61076943e-04
0.00010953894   	-2.63357947e-04
0.00011100138   	-2.65570462e-04
0.00011244989   	-2.67717491e-04
0.00011388516   	-2.69801864e-04
0.00011530803   	-2.71826406e-04
0.00011671912   	-2.73793615e-04
0.00011811922   	-2.75706055e-04
0.00011950888   	-2.77566064e-04
0.00012088845   	-2.79375759e-04
0.00012225865   	-2.81137478e-04
0.00012361997   	-2.82853293e-04
0.0001249729    	-2.84525154e-04
0.00012631772   	-2.86154794e-04
0.00012765489   	-2.87744002e-04
0.00012898486   	-2.89294477e-04
0.00013030787   	-2.90807718e-04
0.00013162418   	-2.92285148e-04
0.0001329342    	-2.93728226e-04
0.00013423799   	-2.95138109e-04
0.00013553595   	-2.96499548e-04
0.00013682812   	-2.97654751e-04
0.0001381149    	-2.98682403e-04
0.0001393965    	-2.99647955e-04
0.00014067312   	-3.00582268e-04
0.00014194512   	-3.01482975e-04
0.00014321271   	-3.02328271e-04
0.00014447624   	-3.03105706e-04
0.0001457359    	-3.03889427e-04
0.00014699106   	-3.04645740e-04
0.00014824176   	-3.05358361e-04
0.00014948802   	-3.06045761e-04
0.00015073005   	-3.06716325e-04
0.00015196786   	-3.07370859e-04
0.00015320164   	-3.08006116e-04
0.00015443157   	-3.08617086e-04
0.00015565782   	-3.09199047e-04
0.00015688057   	-3.09748811e-04
0.00015810014   	-3.10265078e-04
0.00015931669   	-3.10749853e-04
0.00016053039   	-3.11208087e-04
0.0001617414    	-3.11649942e-04
0.00016294973   	-3.12092323e-04
0.00016415525   	-3.12555090e-04
0.00016535768   	-3.13040886e-04
0.00016655673   	-3.13532287e-04
0.00016775258   	-3.14004594e-04
0.00016894552   	-3.14437534e-04
0.00017013587   	-3.14765075e-04
0.00017132262   	-3.15087119e-04
0.00017250651   	-3.15402234e-04
0.00017368799   	-3.15714183e-04
0.00017486733   	-3.16032584e-04
0.00017604428   	-3.16366538e-04
0.00017721869   	-3.16708635e-04
0.00017839044   	-3.17041296e-04
0.00017955968   	-3.17348530e-04
0.00018072669   	-3.17626375e-04
0.00018189177   	-3.17875365e-04
0.00018305519   	-3.18104042e-04
0.00018421696   	-3.18320823e-04
0.00018537695   	-3.18535740e-04
0.00018653515   	-3.18754860e-04
0.00018769144   	-3.18972310e-04
0.00018884583   	-3.19177383e-04
0.00018999859   	-3.19365184e-04
0.00019114987   	-3.19534170e-04
0.00019229979   	-3.19686556e-04
0.0001934485    	-3.19827751e-04
0.00019459614   	-3.19965349e-04
0.0001957427    	-3.20107454e-04
0.00019688819   	-3.20257128e-04
0.00019803261   	-3.20409816e-04
0.00019917583   	-3.20557287e-04
0.00020031812   	-3.20696571e-04
0.00020145948   	-3.20822521e-04
0.00020260004   	-3.20938384e-04
0.0002037398    	-3.21046971e-04
0.00020487877   	-3.21153269e-04
0.00020601707   	-3.21262611e-04
0.00020715458   	-3.21380133e-04
0.0002082913    	-3.21500319e-04
0.0002094271    	-3.21614325e-04
0.00021056211   	-3.21717759e-04
0.00021169633   	-3.21812326e-04
0.00021282989   	-3.21895931e-04
0.00021396293   	-3.21973737e-04
0.00021509531   	-3.22048410e-04
0.00021622703   	-3.22122742e-04
0.00021735824   	-3.22201708e-04
0.00021848878   	-3.22281587e-04
0.00021961868   	-3.22359342e-04
0.00022074792   	-3.22429131e-04
0.00022187652   	-3.22484606e-04
0.00022300459   	-3.22544162e-04
0.00022413227   	-3.22594839e-04
0.00022525943   	-3.22646477e-04
0.00022638607   	-3.22701575e-04
0.00022751219   	-3.22758557e-04
0.00022863793   	-3.22813621e-04
0.00022976314   	-3.22863674e-04
0.00023088797   	-3.22908610e-04
0.0002320124    	-3.22943752e-04
0.00023313645   	-3.22981007e-04
0.00023426012   	-3.23021605e-04
0.00023538339   	-3.23061246e-04
0.00023650627   	-3.23101737e-04
0.0002376289    	-3.23140590e-04
0.00023875114   	-3.23176558e-04
0.00023987313   	-3.23208373e-04
0.00024099472   	-3.23238983e-04
0.00024211606   	-3.23269593e-04
0.00024323701   	-3.23300361e-04
0.00024435771   	-3.23333940e-04
0.00024547814   	-3.23364775e-04
0.00024659819   	-3.23389412e-04
0.00024771799   	-3.23415865e-04
0.00024883752   	-3.23439904e-04
0.0002499568    	-3.23464237e-04
0.00025107595   	-3.23487904e-04
0.00025219485   	-3.23512266e-04
0.00025331348   	-3.23535751e-04
0.00025443187   	-3.23560055e-04
0.00025554999   	-3.23582935e-04
0.00025666798   	-3.23604427e-04
0.00025778585   	-3.23625486e-04
0.00025890346   	-3.23646362e-04
0.00026002095   	-3.23666577e-04
0.00026113817   	-3.23687206e-04
0.00026225527   	-3.23707760e-04
0.00026337224   	-3.23727518e-04
0.00026448908   	-3.23746117e-04
0.0002656058    	-3.23764928e-04
0.00026672238   	-3.23783269e-04
0.00026783884   	-3.23801254e-04
0.00026895517   	-3.23820115e-04
0.00027007137   	-3.23839143e-04
0.00027118744   	-3.23857665e-04
0.00027230339   	-3.23875989e-04
0.00027341921   	-3.23894043e-04
0.0002745349    	-3.23911674e-04
0.00027565059   	-3.23928738e-04
0.00027676615   	-3.23946206e-04
0.00027788158   	-3.23963467e-04
0.00027899689   	-3.23980494e-04
0.00028011219   	-3.23997323e-04
0.00028122737   	-3.24013803e-04
0.00028234255   	-3.24029614e-04
0.0002834576    	-3.24045950e-04
0.00028457265   	-3.24062733e-04
0.00028568757   	-3.24079238e-04
0.00028680236   	-3.24095582e-04
0.00028791716   	-3.24111504e-04
0.00028903182   	-3.24127233e-04
0.00029014649   	-3.24142338e-04
0.00029126115   	-3.24157687e-04
0.00029237569   	-3.24172858e-04
0.00029349023   	-3.24187940e-04
0.00029460464   	-3.24202573e-04
0.00029571905   	-3.24217132e-04
0.00029683333   	-3.24230888e-04
0.00029794761   	-3.24245047e-04
0.00029906189   	-3.24259587e-04
0.00030017605   	-3.24273648e-04
0.0003012902    	-3.24287396e-04
0.00030240436   	-3.24301170e-04
0.00030351838   	-3.24314647e-04
0.00030463241   	-3.24326874e-04
0.00030574643   	-3.24339619e-04
0.00030686033   	-3.24352348e-04
0.00030797423   	-3.24364426e-04
0.00030908813   	-3.24376261e-04
0.0003102019    	-3.24388062e-04
0.00031131567   	-3.24399169e-04
0.00031242944   	-3.24410749e-04
0.00031354308   	-3.24422116e-04
0.00031465672   	-3.24433129e-04
0.00031577036   	-3.24443845e-04
0.00031688388   	-3.24454341e-04
0.00031799739   	-3.24464354e-04
0.0003191109    	-3.24474168e-04
0.00032022442   	-3.24483882e-04
0.0003213378    	-3.24493358e-04
0.00032245119   	-3.24502636e-04
0.00032356457   	-3.24511767e-04
0.00032467783   	-3.24520589e-04
0.00032579109   	-3.24529275e-04
0.00032690435   	-3.24537996e-04
0.00032801761   	-3.24546576e-04
0.00032913073   	-3.24554996e-04
0.00033024386   	-3.24563459e-04
0.00033135699   	-3.24571613e-04
0.00033247012   	-3.24579321e-04
0.00033358312   	-3.24586958e-04
0.00033469613   	-3.24594527e-04
0.00033580913   	-3.24602063e-04
0.00033692213   	-3.24609502e-04
0.00033803513   	-3.24616823e-04
0.000339148     	-3.24624199e-04
0.00034026088   	-3.24631667e-04
0.00034137375   	-3.24639043e-04
0.00034248662   	-3.24646352e-04
0.0003435995    	-3.24653740e-04
0.00034471224   	-3.24660837e-04
0.00034582499   	-3.24667840e-04
0.00034693773   	-3.24674952e-04
0.00034805048   	-3.24682094e-04
0.00034916322   	-3.24689247e-04
0.00035027584   	-3.24696362e-04
0.00035138845   	-3.24703418e-04
0.00035250107   	-3.24710659e-04
0.00035361369   	-3.24718035e-04
0.0003547263    	-3.24725401e-04
0.00035583892   	-3.24732881e-04
0.00035695141   	-3.24740488e-04
0.0003580639    	-3.24747773e-04
0.00035917639   	-3.24755029e-04
0.00036028887   	-3.24762401e-04
0.00036140136   	-3.24769891e-04
0.00036251385   	-3.24777427e-04
0.00036362621   	-3.24784779e-04
0.00036473857   	-3.24792252e-04
0.00036585093   	-3.24799945e-04
0.00036696329   	-3.24807676e-04
0.00036807565   	-3.24815418e-04
0.00036918801   	-3.24823321e-04
0.00037030024   	-3.24831007e-04
0.00037141247   	-3.24838501e-04
0.0003725247    	-3.24846132e-04
0.00037363694   	-3.24853854e-04
0.00037474917   	-3.24861617e-04
0.0003758614    	-3.24869170e-04
0.0003769735    	-3.24876662e-04
0.0003780856    	-3.24884313e-04
0.00037919771   	-3.24892027e-04
0.00038030981   	-3.24899740e-04
0.00038142191   	-3.24907531e-04
0.00038253389   	-3.24915133e-04
0.00038364586   	-3.24922481e-04
0.00038475784   	-3.24929878e-04
0.00038586981   	-3.24937342e-04
0.00038698178   	-3.24944812e-04
0.00038809376   	-3.24951981e-04
0.0003892056    	-3.24959121e-04
0.00039031745   	-3.24966343e-04
0.0003914293    	-3.24973580e-04
0.00039254114   	-3.24980819e-04
0.00039365299   	-3.24987990e-04
0.0003947647    	-3.24994892e-04
0.00039587642   	-3.25001721e-04
0.00039698814   	-3.25008601e-04
0.00039809986   	-3.25015458e-04
0.00039921157   	-3.25022232e-04
0.00040032316   	-3.25028838e-04
0.00040143475   	-3.25035453e-04
0.00040254634   	-3.25042113e-04
0.00040365793   	-3.25048747e-04
0.00040476951   	-3.25055349e-04
0.00040588097   	-3.25061742e-04
0.00040699243   	-3.25068104e-04
0.00040810389   	-3.25074501e-04
0.00040921535   	-3.25080920e-04
0.00041032681   	-3.25087267e-04
0.00041143827   	-3.25093521e-04
0.0004125496    	-3.25099779e-04
0.00041366093   	-3.25106057e-04
0.00041477226   	-3.25112326e-04
0.00041588359   	-3.25118559e-04
0.00041699493   	-3.25124799e-04
0.00041810626   	-3.25131046e-04
0.00041921746   	-3.25137264e-04
0.00042032866   	-3.25143476e-04
0.00042143986   	-3.25149725e-04
0.00042255106   	-3.25155999e-04
0.00042366227   	-3.25162289e-04
0.00042477347   	-3.25167572e-04
0.00042588467   	-3.25173198e-04
0.00042699574   	-3.25179452e-04
0.00042810682   	-3.25185913e-04
0.00042921789   	-3.25192397e-04
0.00043032896   	-3.25197415e-04
0.00043144003   	-3.25202591e-04
0.00043255111   	-3.25208509e-04
0.00043366218   	-3.25213817e-04
0.00043477325   	-3.25221174e-04
0.00043588433   	-3.25227313e-04
0.00043699527   	-3.25233118e-04
0.00043810621   	-3.25240279e-04
0.00043921716   	-3.25245780e-04
0.0004403281    	-3.25250983e-04
0.00044143904   	-3.25255904e-04
0.00044254999   	-3.25260554e-04
0.00044366093   	-3.25264946e-04
0.00044477188   	-3.25269093e-04
0.00044588282   	-3.25273006e-04
0.00044699376   	-3.25276696e-04
0.00044810471   	-3.25280174e-04
0.00044921552   	-3.25304654e-04
0.00045032634   	-3.25322707e-04
0.00045143715   	-3.25339815e-04
0.00045254797   	-3.25333814e-04
0.00045365865   	-3.25359719e-04
0.00045476947   	-3.25381800e-04
0.0004558808    	-3.25361384e-04
0.00045699123   	-3.25363936e-04
0.00045810243   	-3.25370461e-04
0.00045921311   	-3.25373838e-04
0.00046032341   	-3.25388959e-04
0.00046143474   	-3.25395481e-04
0.00046254517   	-3.25404929e-04
0.00046365637   	-3.25410275e-04
0.00046476693   	-3.25419044e-04
0.00046587787   	-3.25427770e-04
0.00046698908   	-3.25429990e-04
0.00046809937   	-3.25441869e-04
0.00046921058   	-3.25449982e-04
0.00047032087   	-3.25461686e-04
0.00047143195   	-3.25470963e-04
0.00047254237   	-3.25476600e-04
0.00047365345   	-3.25484651e-04
0.00047476387   	-3.25488138e-04
0.00047587495   	-3.25500856e-04
0.0004769855    	-3.25504698e-04
0.00047809645   	-3.25517154e-04
0.00047920713   	-3.25521359e-04
0.00048031795   	-3.25531718e-04
0.00048142863   	-3.25536854e-04
0.00048253932   	-3.25549780e-04
0.00048365013   	-3.25555538e-04
0.00048476082   	-3.25566313e-04
0.00048587163   	-3.25573725e-04
0.00048698232   	-3.25581393e-04
0.000488093     	-3.25590150e-04
0.00048920369   	-3.25595457e-04
0.00049031437   	-3.25600575e-04
0.00049142506   	-3.25605421e-04
0.00049253574   	-3.25618056e-04
0.00049364643   	-3.25630585e-04
0.00049475698   	-3.25647452e-04
0.0004958678    	-3.25656128e-04
0.00049697835   	-3.25663428e-04
0.00049808904   	-3.25669690e-04
0.00049920011   	-3.25676534e-04
0.00050031041   	-3.25677818e-04
0.00050142135   	-3.25688919e-04
