# Region type : patch outlet
# Faces         : 24
# Area          : 6.97245941e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1.2e-09         	5.84533777e-09
2.6400002e-09   	1.28595149e-08
4.3680003e-09   	2.12762838e-08
6.4416007e-09   	3.13761809e-08
8.9299207e-09   	4.34958498e-08
1.1915905e-08   	5.80392320e-08
1.5499086e-08   	7.54910784e-08
1.9798902e-08   	9.64330583e-08
2.4958683e-08   	1.21563171e-07
3.1150419e-08   	1.51718969e-07
3.85805e-08     	1.87905497e-07
4.7496595e-08   	2.31328799e-07
5.8195908e-08   	2.83435954e-07
7.1035078e-08   	3.45963441e-07
8.6442078e-08   	4.20994840e-07
1.0493048e-07   	5.11030378e-07
1.2711658e-07   	6.19069954e-07
1.5373988e-07   	7.48712794e-07
1.8568786e-07   	9.04277501e-07
2.2402542e-07   	1.09094550e-06
2.7003038e-07   	1.31493083e-06
3.2523633e-07   	1.58368918e-06
3.9148347e-07   	1.90616203e-06
4.7097983e-07   	2.29306781e-06
5.6637516e-07   	2.75725282e-06
6.8084933e-07   	3.31410341e-06
8.1821771e-07   	3.98202755e-06
9.8306022e-07   	4.78301852e-06
1.1808725e-06   	5.74328822e-06
1.4182445e-06   	6.89393295e-06
1.7030881e-06   	8.27167703e-06
2.0448986e-06   	9.91947558e-06
2.4550711e-06   	1.18867655e-05
2.94727e-06     	1.42287625e-05
3.537903e-06    	1.70038950e-05
4.2466708e-06   	2.02678545e-05
5.0971561e-06   	2.40702925e-05
6.1177731e-06   	2.84821824e-05
7.3425136e-06   	3.35645753e-05
8.8122382e-06   	3.92996124e-05
1.0575908e-05   	4.55852883e-05
1.2680717e-05   	5.21491598e-05
1.5076332e-05   	5.83688800e-05
1.766377e-05    	6.35948124e-05
2.0053604e-05   	6.71315919e-05
2.2327458e-05   	6.91201494e-05
2.4539312e-05   	6.97608314e-05
2.6746272e-05   	7.06094627e-05
2.8943508e-05   	7.28951649e-05
3.1079095e-05   	7.54155895e-05
3.3153361e-05   	7.81256839e-05
3.5166459e-05   	8.08988588e-05
3.7120731e-05   	8.37043607e-05
3.9018784e-05   	8.65288238e-05
4.0864093e-05   	8.93644872e-05
4.2657563e-05   	9.22046179e-05
4.439988e-05    	9.50436092e-05
4.609445e-05    	9.78781525e-05
4.7743813e-05   	1.00704704e-04
4.9350311e-05   	1.03519733e-04
5.091611e-05    	1.06319806e-04
5.2443448e-05   	1.09101887e-04
