# Region            : all region0
# Cells             : 1024
# Volume            : 5.234326483828e-02
# Time              	volAverage(T)
1                   	2.732987819013e+02
2                   	2.735066020597e+02
3                   	2.736575812673e+02
4                   	2.737723664326e+02
5                   	2.738636382881e+02
6                   	2.739393347800e+02
7                   	2.740044840926e+02
8                   	2.740623105526e+02
9                   	2.741149113138e+02
10                  	2.741636704434e+02
11                  	2.742095154936e+02
12                  	2.742530784213e+02
13                  	2.742947976316e+02
14                  	2.743349833538e+02
15                  	2.743738599361e+02
16                  	2.744115934687e+02
17                  	2.744483099934e+02
18                  	2.744841076211e+02
19                  	2.745190646723e+02
20                  	2.745532452005e+02
21                  	2.745867027801e+02
22                  	2.746194831322e+02
23                  	2.746516259683e+02
24                  	2.746831663017e+02
25                  	2.747141353935e+02
26                  	2.747445614468e+02
27                  	2.747744701232e+02
28                  	2.748038849358e+02
29                  	2.748328275522e+02
30                  	2.748613180333e+02
31                  	2.748893750249e+02
32                  	2.749170159140e+02
33                  	2.749442569586e+02
34                  	2.749711133968e+02
35                  	2.749975995404e+02
36                  	2.750237288555e+02
37                  	2.750495140331e+02
38                  	2.750749670510e+02
39                  	2.751000992295e+02
40                  	2.751249212804e+02
41                  	2.751494433519e+02
42                  	2.751736750680e+02
43                  	2.751976255657e+02
44                  	2.752213035278e+02
45                  	2.752447172132e+02
46                  	2.752678744845e+02
47                  	2.752907828338e+02
48                  	2.753134494058e+02
49                  	2.753358810194e+02
50                  	2.753580841876e+02
51                  	2.753800651361e+02
52                  	2.754018298198e+02
53                  	2.754233839392e+02
54                  	2.754447329544e+02
55                  	2.754658820992e+02
56                  	2.754868363934e+02
57                  	2.755076006548e+02
58                  	2.755281795100e+02
59                  	2.755485774044e+02
60                  	2.755687986126e+02
61                  	2.755888472461e+02
62                  	2.756087272628e+02
63                  	2.756284424739e+02
64                  	2.756479965519e+02
65                  	2.756673930371e+02
66                  	2.756866353441e+02
67                  	2.757057267678e+02
68                  	2.757246704895e+02
69                  	2.757434695815e+02
70                  	2.757621270128e+02
71                  	2.757806456537e+02
72                  	2.757990282800e+02
73                  	2.758172775775e+02
74                  	2.758353961458e+02
75                  	2.758533865023e+02
76                  	2.758712510855e+02
77                  	2.758889922586e+02
78                  	2.759066123125e+02
79                  	2.759241134688e+02
80                  	2.759414978830e+02
81                  	2.759587676466e+02
82                  	2.759759247904e+02
83                  	2.759929712864e+02
84                  	2.760099090501e+02
85                  	2.760267399432e+02
86                  	2.760434657753e+02
87                  	2.760600883058e+02
88                  	2.760766092463e+02
89                  	2.760930302618e+02
90                  	2.761093529728e+02
91                  	2.761255789569e+02
92                  	2.761417097501e+02
93                  	2.761577468489e+02
94                  	2.761736917108e+02
95                  	2.761895457567e+02
96                  	2.762053103712e+02
97                  	2.762209869048e+02
98                  	2.762365766743e+02
99                  	2.762520809642e+02
100                 	2.762675010281e+02
101                 	2.762828380893e+02
102                 	2.762980933421e+02
103                 	2.763132679524e+02
104                 	2.763283630590e+02
105                 	2.763433797744e+02
106                 	2.763583191855e+02
107                 	2.763731823543e+02
108                 	2.763879703191e+02
109                 	2.764026840949e+02
110                 	2.764173246741e+02
111                 	2.764318930275e+02
112                 	2.764463901047e+02
113                 	2.764608168346e+02
114                 	2.764751741265e+02
115                 	2.764894628701e+02
116                 	2.765036839366e+02
117                 	2.765178381789e+02
118                 	2.765319264322e+02
119                 	2.765459495146e+02
120                 	2.765599082276e+02
121                 	2.765738033562e+02
122                 	2.765876356699e+02
123                 	2.766014059229e+02
124                 	2.766151148544e+02
125                 	2.766287631891e+02
126                 	2.766423516376e+02
127                 	2.766558808968e+02
128                 	2.766693516504e+02
129                 	2.766827645689e+02
130                 	2.766961203102e+02
131                 	2.767094195199e+02
132                 	2.767226628316e+02
133                 	2.767358508672e+02
134                 	2.767489842372e+02
