# Force             
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    3.738888370990e-01 -5.962052212936e-03 -5.781136054134e-19 3.165577417801e-01 -5.103522101159e-03 8.117855149656e-20 5.733109531892e-02 -8.585301117770e-04 -6.592921569100e-19
2                    3.904643483393e-02 2.050780819932e-02 -8.473770934193e-19 1.646161416528e-02 1.770350784289e-02 4.905845978624e-21 2.258482066865e-02 2.804300356435e-03 -8.522829393979e-19
3                    2.659261128815e-02 1.017246495249e-02 -1.991080290381e-19 6.074330009038e-03 9.347473952543e-03 1.986666331518e-21 2.051828127912e-02 8.249909999462e-04 -2.010946953696e-19
4                    2.055370195859e-02 9.896699632885e-03 -1.488888845016e-19 4.471453169773e-03 9.073118893840e-03 1.554594200109e-21 1.608224878882e-02 8.235807390448e-04 -1.504434787017e-19
5                    1.805213618150e-02 9.727998591041e-03 -1.494716045343e-19 3.791392438139e-03 9.028890759466e-03 1.379592604329e-21 1.426074374336e-02 6.991078315754e-04 -1.508511971387e-19
6                    1.626037368580e-02 9.662362603709e-03 -1.460076143774e-19 3.397248991392e-03 8.980468617255e-03 1.279895904929e-21 1.286312469441e-02 6.818939864538e-04 -1.472875102824e-19
7                    1.496204490096e-02 9.610613297469e-03 -1.418462383415e-19 3.152083564921e-03 8.929770031561e-03 1.218276788096e-21 1.180996133604e-02 6.808432659081e-04 -1.430645151296e-19
8                    1.395167166522e-02 9.572190765913e-03 -1.464491368636e-19 2.982536487988e-03 8.881403196468e-03 1.176088405972e-21 1.096913517723e-02 6.907875694454e-04 -1.476252252695e-19
9                    1.313920099385e-02 9.541434843465e-03 -1.228548152359e-19 2.857802647989e-03 8.835492738617e-03 1.145463600814e-21 1.028139834586e-02 7.059421048482e-04 -1.240002788367e-19
10                   1.246838454367e-02 9.516038334650e-03 -1.261739682003e-19 2.761815606667e-03 8.791913480977e-03 1.122287291100e-21 9.706568937003e-03 7.241248536734e-04 -1.272962554914e-19
11                   1.190347746899e-02 9.494501120360e-03 -1.211239918170e-19 2.685581157957e-03 8.750437892593e-03 1.104246514956e-21 9.217896311035e-03 7.440632277666e-04 -1.222282383320e-19
12                   1.142020741726e-02 9.475874132441e-03 -1.153394924022e-19 2.623643536321e-03 8.710858637423e-03 1.089933457290e-21 8.796563880937e-03 7.650154950183e-04 -1.164294258595e-19
13                   1.100146094003e-02 9.459509889531e-03 -1.165453077802e-19 2.572498423682e-03 8.673001471547e-03 1.078440390802e-21 8.428962516351e-03 7.865084179837e-04 -1.176237481710e-19
14                   1.063476761223e-02 9.444949438833e-03 -1.096674717221e-19 2.529780523306e-03 8.636721528056e-03 1.069151969456e-21 8.104987088920e-03 8.082279107767e-04 -1.107366236916e-19
15                   1.031079438863e-02 9.431854658924e-03 -1.169788959164e-19 2.493825058615e-03 8.601894746479e-03 1.061632871007e-21 7.816969330016e-03 8.299599124446e-04 -1.180405287874e-19
16                   1.002239664728e-02 9.419968097921e-03 -1.222961993883e-19 2.463417478023e-03 8.568411165237e-03 1.055563634375e-21 7.558979169257e-03 8.515569326837e-04 -1.233517630227e-19
17                   9.763998230660e-03 9.409087778081e-03 -1.228911058647e-19 2.437643700898e-03 8.536170497312e-03 1.050702222389e-21 7.326354529762e-03 8.729172807692e-04 -1.239418080870e-19
18                   9.531173718691e-03 9.399051005053e-03 -1.196666408759e-19 2.415797164184e-03 8.505079603103e-03 1.046860180541e-21 7.115376554507e-03 8.939714019493e-04 -1.207135010564e-19
19                   9.320359228488e-03 9.389723701054e-03 -1.423619028702e-19 2.397319010636e-03 8.475051188016e-03 1.043887308632e-21 6.923040217852e-03 9.146725130380e-04 -1.434057901788e-19
20                   9.128647384459e-03 9.380993150489e-03 -1.446546069505e-19 2.381758316668e-03 8.446003121477e-03 1.041661449307e-21 6.746889067792e-03 9.349900290118e-04 -1.456962683999e-19
21                   8.953639024200e-03 9.372762926569e-03 -1.399423616944e-19 2.368744970047e-03 8.417858040162e-03 1.040081534982e-21 6.584894054153e-03 9.549048864066e-04 -1.409824432294e-19
22                   8.793333983691e-03 9.364949367401e-03 -1.366060317852e-19 2.357970722467e-03 8.390543175005e-03 1.039062738240e-21 6.435363261223e-03 9.744061923964e-04 -1.376450945235e-19
23                   8.646049214220e-03 9.357479059637e-03 -1.375986382442e-19 2.349175516066e-03 8.363990241472e-03 1.038532952907e-21 6.296873698154e-03 9.934888181654e-04 -1.386371711971e-19
24                   8.510356598447e-03 9.350286873350e-03 -1.458363547971e-19 2.342137509388e-03 8.338135204245e-03 1.038430232317e-21 6.168219089060e-03 1.012151669105e-03 -1.468747850294e-19
25                   8.385035093033e-03 9.343314584290e-03 -1.583026019738e-19 2.336665656928e-03 8.312918143389e-03 1.038700886476e-21 6.048369436105e-03 1.030396440902e-03 -1.593413028603e-19
26                   8.269033413490e-03 9.336509823024e-03 -1.585028657960e-19 2.332594052141e-03 8.288283094490e-03 1.039298029282e-21 5.936439361349e-03 1.048226728535e-03 -1.595421638253e-19
27                   8.161440611826e-03 9.329825269784e-03 -1.583528326369e-19 2.329777535565e-03 8.264177880302e-03 1.040180450249e-21 5.831663076261e-03 1.065647389482e-03 -1.593930130871e-19
28                   8.061462684723e-03 9.323218013515e-03 -1.722209356319e-19 2.328088277955e-03 8.240553923354e-03 1.041311739502e-21 5.733374406768e-03 1.082664090162e-03 -1.732622473714e-19
29                   7.968403752246e-03 9.316649073762e-03 -1.935859505860e-19 2.327413029834e-03 8.217366087997e-03 1.042659580776e-21 5.640990722411e-03 1.099282985765e-03 -1.946286101668e-19
30                   7.881650861504e-03 9.310082957013e-03 -1.911098605308e-19 2.327650961052e-03 8.194572461233e-03 1.044195197396e-21 5.553999900452e-03 1.115510495779e-03 -1.921540557282e-19
31                   7.800661547429e-03 9.303487307480e-03 -1.883995616520e-19 2.328711868104e-03 8.172134158591e-03 1.045892892144e-21 5.471949679324e-03 1.131353148888e-03 -1.894454545441e-19
32                   7.724953576162e-03 9.296832797428e-03 -2.143960697062e-19 2.330514677174e-03 8.150015318850e-03 1.047729666646e-21 5.394438898989e-03 1.146817478578e-03 -2.154437993729e-19
33                   7.654096479545e-03 9.290092803855e-03 -2.166122812920e-19 2.332986228287e-03 8.128182847717e-03 1.049684907622e-21 5.321110251257e-03 1.161909956138e-03 -2.176619661997e-19
34                   7.587704546274e-03 9.283242879235e-03 -2.242780654549e-19 2.336060303703e-03 8.106605933661e-03 1.051740128156e-21 5.251644242571e-03 1.176636945574e-03 -2.253298055831e-19
