# Moment            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                    -1.352537547605e-19 3.006118664284e-19 -2.919923364855e-02 1.273104459450e-20 -1.139414081572e-20 1.725866471678e-04 -1.479847993550e-19 3.120060072441e-19 -2.937182029572e-02
2                    -1.517360991058e-19 1.109468443807e-19 -1.946393372897e-02 7.877839765874e-22 1.402300192540e-22 9.054464152359e-06 -1.525238830824e-19 1.108066143614e-19 -1.947298819312e-02
3                    -6.037532807762e-20 -4.032216942577e-20 -1.217968274620e-02 3.034961696586e-22 2.012224314714e-22 3.250414253576e-06 -6.067882424728e-20 -4.052339185724e-20 -1.218293316045e-02
4                    -4.302032432421e-20 -3.890519322211e-20 -9.698531709721e-03 2.478995044760e-22 2.017241418006e-22 2.407659355106e-06 -4.326822382868e-20 -3.910691736391e-20 -9.700939369076e-03
5                    -3.982331838815e-20 -4.443605145330e-20 -8.404997223611e-03 2.236499541248e-22 2.093919354026e-22 2.040947060803e-06 -4.004696834228e-20 -4.464544338870e-20 -8.407038170672e-03
6                    -3.719371824245e-20 -5.060880084030e-20 -7.539184415611e-03 2.093501833448e-22 2.135704045585e-22 1.824585154066e-06 -3.740306842579e-20 -5.082237124485e-20 -7.541009000765e-03
7                    -3.552704721675e-20 -6.064538287499e-20 -6.898736021063e-03 2.002425934134e-22 2.158042451573e-22 1.688210022880e-06 -3.572728981016e-20 -6.086118712015e-20 -6.900424231085e-03
8                    -3.568453377982e-20 -6.952231553778e-20 -6.399025027278e-03 1.937842014718e-22 2.171576359166e-22 1.592483864458e-06 -3.587831798130e-20 -6.973947317370e-20 -6.400617511143e-03
9                    -2.921879575729e-20 -7.110671848856e-20 -5.995177849158e-03 1.889082043195e-22 2.180033391623e-22 1.520853895388e-06 -2.940770396161e-20 -7.132472182773e-20 -5.996698703053e-03
10                   -3.066307561584e-20 -7.904969594534e-20 -5.660261546795e-03 1.850606304108e-22 2.185214605905e-22 1.464692435538e-06 -3.084813624625e-20 -7.926821740593e-20 -5.661726239231e-03
11                   -2.949373584300e-20 -8.388310730664e-20 -5.376897115711e-03 1.819307311443e-22 2.188053787108e-22 1.419172603590e-06 -2.967566657414e-20 -8.410191268535e-20 -5.378316288315e-03
12                   -2.695322443129e-20 -8.962321925659e-20 -5.133282832700e-03 1.793293717674e-22 2.189087290971e-22 1.381368778336e-06 -2.713255380306e-20 -8.984212798568e-20 -5.134664201478e-03
13                   -3.073776564569e-20 -9.087390164815e-20 -4.921084030726e-03 1.771344106725e-22 2.188647251701e-22 1.349403893342e-06 -3.091490005636e-20 -9.109276637332e-20 -4.922433434620e-03
14                   -2.647299829420e-20 -9.842884034663e-20 -4.734225058888e-03 1.752627587380e-22 2.186954908879e-22 1.322012679076e-06 -2.664826105294e-20 -9.864753583752e-20 -4.735547071567e-03
15                   -2.926024311187e-20 -1.040033840163e-19 -4.568158904116e-03 1.736552900777e-22 2.184167688004e-22 1.298305882565e-06 -2.943389840194e-20 -1.042218007851e-19 -4.569457209998e-03
16                   -3.349510882073e-20 -1.050108021111e-19 -4.419405969831e-03 1.722682756827e-22 2.180404296431e-22 1.277635753174e-06 -3.366737709642e-20 -1.052288425407e-19 -4.420683605584e-03
17                   -2.959704252620e-20 -1.157822945968e-19 -4.285252149551e-03 1.710682548161e-22 2.175758668032e-22 1.259515525875e-06 -2.976811078102e-20 -1.159998704636e-19 -4.286511665077e-03
18                   -3.033773217013e-20 -1.170906077344e-19 -4.163545039912e-03 1.700288745160e-22 2.170308011701e-22 1.243569499757e-06 -3.050776104465e-20 -1.173076385355e-19 -4.164788609412e-03
