# Region            : cellZone gateZoneInner
# Cells             : 590
# Volume            : 1.015917205418e-04
# Time              	volAverage(Ma)	volAverage(T)	volAverage(rho)	volAverage(p)
1.2e-08             	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.64e-08            	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
4.368e-08           	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
6.4416e-08          	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
8.92992e-08         	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.1915904e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.5499085e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.9798902e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.4958682e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
3.1150419e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
3.8580502e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
4.7496603e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
5.8195923e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
7.1035108e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
8.6442129e-07       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.0493056e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.2711667e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.5374e-06          	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.85688e-06         	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.240256e-06        	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.7003072e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
3.2523686e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
3.9079207e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
4.6669539e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
5.529501e-06        	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
6.4956646e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
7.5338514e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
8.5720803e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
9.6097562e-06       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.0646727e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.1682939e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.2718528e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.375341e-05        	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.4788144e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.5823651e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.6861151e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.790032e-05        	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.893881e-05        	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
1.9976317e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.1012583e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.2047573e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.3081192e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.4114041e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.5147603e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.6183911e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.722218e-05        	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.8258192e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
2.9292151e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
3.0324295e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
3.1356261e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
3.2391277e-05       	2.501814636762e+00	2.890000000000e+02	1.220000286303e+00	1.012264000000e+05
