# Region            : cellZone gateZoneInner
# Cells             : 67
# Volume            : 3.020863867237e-04
# Time              	volAverage(Ma)	volAverage(p)	volAverage(T)
1.2e-08             	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.64e-08            	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.368e-08           	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.4416e-08          	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
8.92992e-08         	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.1915904e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.5499085e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.9798902e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.4958682e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.1150419e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.8580502e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.7496603e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.8195923e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.1035108e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
8.6442129e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.0493056e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.2711667e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.5374e-06          	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.85688e-06         	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.240256e-06        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.7003072e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.2523686e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.9148424e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.7098108e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.663773e-06        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.8085276e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
8.1822331e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
9.8306797e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.1808816e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.4182579e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.6984935e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.0215645e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.3874421e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.7960925e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.223466e-05        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.6505005e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.077251e-05        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.5026226e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.9268137e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.3501062e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.7727133e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.1947858e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.6164543e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.037849e-05        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.4591041e-05       	2.500000000000e+00	2.026368999997e+05	2.999999999999e+02
7.8802089e-05       	2.500000000001e+00	2.026368999986e+05	2.999999999994e+02
8.3004942e-05       	2.500000000007e+00	2.026368999930e+05	2.999999999970e+02
8.7200263e-05       	2.500000000030e+00	2.026368999685e+05	2.999999999866e+02
9.1389559e-05       	2.500000000119e+00	2.026368998719e+05	2.999999999456e+02
9.5575063e-05       	2.500000000435e+00	2.026368995270e+05	2.999999997998e+02
9.9758903e-05       	2.500000001451e+00	2.026368984023e+05	2.999999993256e+02
0.00010394234       	2.500000004448e+00	2.026368950327e+05	2.999999979096e+02
0.00010812494       	2.500000012617e+00	2.026368857065e+05	2.999999940034e+02
0.00011230717       	2.500000033283e+00	2.026368617343e+05	2.999999839966e+02
0.00011649162       	2.500000082077e+00	2.026368042137e+05	2.999999600670e+02
0.00012068089       	2.500000190099e+00	2.026366747884e+05	2.999999064047e+02
0.00012486427       	2.500000414614e+00	2.026364014496e+05	2.999997934438e+02
0.00012903747       	2.500000854467e+00	2.026358576429e+05	2.999995694065e+02
0.0001332055        	2.500001671359e+00	2.026348331568e+05	2.999991485387e+02
0.00013737492       	2.500003116573e+00	2.026329975232e+05	2.999983963141e+02
0.00014155122       	2.500005562616e+00	2.026298577614e+05	2.999971122489e+02
0.00014573868       	2.500009538918e+00	2.026247136519e+05	2.999950114204e+02
0.00014994096       	2.500015771390e+00	2.026166138955e+05	2.999917057245e+02
0.00015414544       	2.500025190490e+00	2.026043623580e+05	2.999867045548e+02
0.00015834667       	2.500038974290e+00	2.025864903482e+05	2.999794002168e+02
0.00016255063       	2.500058622121e+00	2.025612001830e+05	2.999690400378e+02
0.00016675347       	2.500085942530e+00	2.025264279433e+05	2.999547459826e+02
0.00017095655       	2.500123147117e+00	2.024797733444e+05	2.999354792384e+02
0.00017516121       	2.500172892376e+00	2.024184936203e+05	2.999100315840e+02
0.00017935536       	2.500238110092e+00	2.023397373593e+05	2.998771197839e+02
0.00018353971       	2.500322264806e+00	2.022402339058e+05	2.998352570598e+02
0.00018771584       	2.500429281014e+00	2.021163834918e+05	2.997827925985e+02
0.00019188619       	2.500563534671e+00	2.019642686128e+05	2.997179182430e+02
0.00019605385       	2.500729838781e+00	2.017796886630e+05	2.996386820029e+02
0.00020022238       	2.500933433192e+00	2.015582161750e+05	2.995430058449e+02
0.00020439538       	2.501179976381e+00	2.012952767703e+05	2.994287088296e+02
0.00020857591       	2.501475513787e+00	2.009862654283e+05	2.992935438975e+02
0.00021276173       	2.501826050513e+00	2.006270429304e+05	2.991354069005e+02
0.00021694648       	2.502237259712e+00	2.002142171465e+05	2.989524633359e+02
0.00022112986       	2.502715234523e+00	1.997443555527e+05	2.987428054015e+02
0.00022531481       	2.503266440463e+00	1.992140004437e+05	2.985044685715e+02
0.00022950338       	2.503897251246e+00	1.986200444782e+05	2.982356174623e+02
0.00023369558       	2.504613554797e+00	1.979600008744e+05	2.979346880922e+02
0.00023789306       	2.505421190150e+00	1.972315398227e+05	2.976001854649e+02
0.00024209838       	2.506325894939e+00	1.964325308420e+05	2.972307005622e+02
0.00024630873       	2.507331835584e+00	1.955622856446e+05	2.968254906672e+02
0.00025051603       	2.508440950753e+00	1.946219955471e+05	2.963846981652e+02
0.0002547211        	2.509656480455e+00	1.936117602280e+05	2.959079430428e+02
0.0002589252        	2.510981315033e+00	1.925319977319e+05	2.953949865605e+02
0.00026312981       	2.512417970249e+00	1.913834200021e+05	2.948457306945e+02
0.00026733631       	2.513968469741e+00	1.901670702758e+05	2.942602505364e+02
0.00027153389       	2.515629368753e+00	1.888879590603e+05	2.936406026814e+02
0.00027572314       	2.517400440864e+00	1.875483823755e+05	2.929875694992e+02
0.0002799059        	2.519281593338e+00	1.861503679472e+05	2.923018379844e+02
0.00028408506       	2.521273022385e+00	1.846955953329e+05	2.915839522209e+02
0.00028826408       	2.523375169966e+00	1.831854553937e+05	2.908343367972e+02
0.00029244642       	2.525588522776e+00	1.816212000018e+05	2.900533704040e+02
0.00029663497       	2.527913321588e+00	1.800041279652e+05	2.892414824718e+02
0.00030082079       	2.530342686244e+00	1.783400993668e+05	2.884014790313e+02
0.00030499985       	2.532871643465e+00	1.766333171029e+05	2.875353863344e+02
0.00030917742       	2.535500719122e+00	1.748841524961e+05	2.866432908746e+02
0.00031335978       	2.538231490788e+00	1.730922468215e+05	2.857249011151e+02
0.00031754993       	2.541063724908e+00	1.712583776446e+05	2.847805100172e+02
0.00032174755       	2.543994916363e+00	1.693847091125e+05	2.838111334765e+02
0.00032595321       	2.547023036980e+00	1.674730668273e+05	2.828176097531e+02
0.00033016429       	2.550143469155e+00	1.655268440192e+05	2.818016060539e+02
0.00033437274       	2.553346816608e+00	1.635522566934e+05	2.807663002644e+02
0.00033857917       	2.556629805641e+00	1.615518076604e+05	2.797128988183e+02
0.00034278454       	2.559989226613e+00	1.595280432353e+05	2.786426081342e+02
0.00034699003       	2.563421890067e+00	1.574836045406e+05	2.775566552490e+02
0.00035119692       	2.566924451802e+00	1.554213060647e+05	2.764563304555e+02
0.00035539933       	2.570487060421e+00	1.533476849357e+05	2.753449288986e+02
0.00035959408       	2.574101614418e+00	1.512681533310e+05	2.742251516950e+02
0.00036378247       	2.577763560783e+00	1.491860165998e+05	2.730985669763e+02
0.00036796681       	2.581469036135e+00	1.471041246091e+05	2.719665065982e+02
0.00037215003       	2.585214590085e+00	1.450250642174e+05	2.708301688137e+02
0.0003763352        	2.588996731231e+00	1.429514387243e+05	2.696907641516e+02
0.00038052497       	2.592811484407e+00	1.408861518463e+05	2.685496634947e+02
0.0003847212        	2.596654043102e+00	1.388326247188e+05	2.674085140630e+02
0.00038891281       	2.600507318701e+00	1.368006675673e+05	2.662725800464e+02
0.0003931041        	2.604368765447e+00	1.347925007339e+05	2.651428671268e+02
0.00039729856       	2.608235267593e+00	1.328107397543e+05	2.640206050605e+02
0.00040149734       	2.612101693050e+00	1.308590190872e+05	2.629076380358e+02
0.0004057035        	2.615964948648e+00	1.289398733911e+05	2.618052342091e+02
0.0004099193        	2.619821392233e+00	1.270559609237e+05	2.607148064164e+02
0.00041413376       	2.623655261520e+00	1.252153712557e+05	2.596410778410e+02
0.00041834634       	2.627461145348e+00	1.234207661595e+05	2.585857334596e+02
0.00042255772       	2.631235288653e+00	1.216737053384e+05	2.575499022666e+02
0.00042676879       	2.634974768301e+00	1.199750871341e+05	2.565343925858e+02
0.00043097615       	2.638673331204e+00	1.183270084832e+05	2.555408068887e+02
0.00043517689       	2.642325992468e+00	1.167307044095e+05	2.545702962920e+02
0.00043937109       	2.645931125934e+00	1.151857730359e+05	2.536230563176e+02
0.00044355976       	2.649488508790e+00	1.136911622445e+05	2.526989029347e+02
0.00044774487       	2.652999289368e+00	1.122452978968e+05	2.517973388871e+02
0.00045192902       	2.656463265988e+00	1.108463776268e+05	2.509178004651e+02
0.00045611506       	2.659879261282e+00	1.094925069857e+05	2.500595302848e+02
0.00046030556       	2.663249094744e+00	1.081817747514e+05	2.492217904469e+02
0.00046450237       	2.666573877630e+00	1.069124394971e+05	2.484039317506e+02
0.00046869447       	2.669843932534e+00	1.056865312676e+05	2.476077734463e+02
0.00047288529       	2.673061390896e+00	1.045015261730e+05	2.468321895762e+02
0.00047707917       	2.676229061204e+00	1.033548450723e+05	2.460760015126e+02
0.00048127694       	2.679346354889e+00	1.022447978719e+05	2.453385581515e+02
0.00048548148       	2.682414101591e+00	1.011692418686e+05	2.446188841971e+02
0.00048969518       	2.685432639643e+00	1.001263145346e+05	2.439161319167e+02
0.00049390897       	2.688394429734e+00	9.911707745207e+04	2.432314618142e+02
0.00049812074       	2.691298035415e+00	9.814081183993e+04	2.425648152071e+02
0.00050233114       	2.694145066236e+00	9.719627840728e+04	2.419157516686e+02
0.00050654111       	2.696937549183e+00	9.628238879841e+04	2.412838912589e+02
0.00051075055       	2.699677401113e+00	9.539843005089e+04	2.406690604846e+02
0.0005149532        	2.702361833999e+00	9.454500400688e+04	2.400719975599e+02
0.00051914904       	2.704992375531e+00	9.372136995742e+04	2.394925120429e+02
0.00052333897       	2.707572085132e+00	9.292659175303e+04	2.389302509966e+02
0.00052752489       	2.710103662642e+00	9.215950336790e+04	2.383846965609e+02
0.00053170937       	2.712589975878e+00	9.141879927469e+04	2.378551996226e+02
0.00053589525       	2.715033135146e+00	9.070308902358e+04	2.373410152735e+02
0.00054008508       	2.717435708084e+00	9.001094807564e+04	2.368413567745e+02
0.00054428073       	2.719798617348e+00	8.934094693971e+04	2.363553901227e+02
0.0005484766        	2.722117748927e+00	8.869278697152e+04	2.358830716783e+02
0.00055267109       	2.724390779697e+00	8.806558110633e+04	2.354239127406e+02
0.00055686739       	2.726619509912e+00	8.745798192136e+04	2.349770767931e+02
0.00056106681       	2.728805061765e+00	8.686923641298e+04	2.345421506110e+02
0.00056527268       	2.730948213608e+00	8.629871280693e+04	2.341187824360e+02
0.00056948682       	2.733049488928e+00	8.574630382359e+04	2.337070033478e+02
0.00057370198       	2.735102450647e+00	8.521309332832e+04	2.333077749379e+02
0.00057791521       	2.737107526296e+00	8.469936426215e+04	2.329215216868e+02
0.00058212714       	2.739066909860e+00	8.420531897072e+04	2.325486355128e+02
0.00058633861       	2.740977699147e+00	8.373102327447e+04	2.321893972984e+02
0.00059054792       	2.742841451959e+00	8.327590569206e+04	2.318435434638e+02
