# Region            : cellZone gateZone
# Cells             : 455
# Volume            : 5.129523050075e-04
# Time              	volAverage(Ma)	volAverage(p)	volAverage(T)
1.2e-08             	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.64e-08            	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.368e-08           	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.4416e-08          	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
8.92992e-08         	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.1915904e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.5499085e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.9798902e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.4958682e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.1150419e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.8580502e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.7496603e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.8195923e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.1035108e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
8.6442129e-07       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.0493056e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.2711667e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.5374e-06          	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.85688e-06         	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.240256e-06        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.7003072e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.2523686e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.9148424e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.7098108e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.663773e-06        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.8085276e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
8.1671828e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
9.7396241e-06       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.1525712e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.3525283e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.5658333e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.7789659e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
1.9919496e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.204231e-05        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.4158931e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.6270777e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
2.8378989e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.0484378e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.2587602e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.4689307e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.6790167e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
3.8889829e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.0985345e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.307704e-05        	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.5165566e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.7251977e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
4.9337378e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.1422529e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.3507442e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.5592139e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.7677735e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
5.9765501e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.1850059e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.3929384e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.6005604e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
6.8081898e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.0161198e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.2245754e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.4337439e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.6432112e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
7.8524007e-05       	2.500000000000e+00	2.026369000000e+05	3.000000000000e+02
8.0617951e-05       	2.500000000000e+00	2.026368999999e+05	3.000000000000e+02
8.2713827e-05       	2.500000000000e+00	2.026368999997e+05	2.999999999999e+02
8.4809706e-05       	2.500000000001e+00	2.026368999987e+05	2.999999999995e+02
8.6906277e-05       	2.500000000005e+00	2.026368999950e+05	2.999999999979e+02
8.8997549e-05       	2.500000000017e+00	2.026368999813e+05	2.999999999920e+02
9.1083803e-05       	2.500000000057e+00	2.026368999355e+05	2.999999999726e+02
9.3165745e-05       	2.500000000184e+00	2.026368997918e+05	2.999999999116e+02
9.5244494e-05       	2.500000000551e+00	2.026368993712e+05	2.999999997335e+02
9.7321522e-05       	2.500000001549e+00	2.026368982155e+05	2.999999992453e+02
9.9398554e-05       	2.500000004103e+00	2.026368952285e+05	2.999999979862e+02
0.00010147742       	2.500000010259e+00	2.026368879463e+05	2.999999949239e+02
0.00010355973       	2.500000024293e+00	2.026368711550e+05	2.999999878801e+02
0.00010564522       	2.500000054588e+00	2.026368344796e+05	2.999999725334e+02
0.00010772992       	2.500000116541e+00	2.026367585886e+05	2.999999408560e+02
0.00010981392       	2.500000236944e+00	2.026366093760e+05	2.999998787255e+02
0.00011189828       	2.500000459970e+00	2.026363298914e+05	2.999997626211e+02
0.00011398424       	2.500000854815e+00	2.026358299580e+05	2.999995553812e+02
0.00011607176       	2.500001524363e+00	2.026349744114e+05	2.999992013918e+02
0.00011816156       	2.500002614982e+00	2.026335702316e+05	2.999986212824e+02
0.00012025491       	2.500004326602e+00	2.026313542285e+05	2.999977067520e+02
0.00012235383       	2.500006923073e+00	2.026279821967e+05	2.999963158047e+02
0.00012445229       	2.500010726974e+00	2.026230410125e+05	2.999942771497e+02
0.00012654949       	2.500016132194e+00	2.026160411508e+05	2.999913861110e+02
0.00012864602       	2.500023607036e+00	2.026064247205e+05	2.999874065276e+02
0.00013074259       	2.500033696183e+00	2.025935774826e+05	2.999820739490e+02
0.00013283998       	2.500047022829e+00	2.025768413010e+05	2.999750988946e+02
0.00013493276       	2.500064237863e+00	2.025555890290e+05	2.999661967047e+02
0.00013702107       	2.500086072808e+00	2.025291634748e+05	2.999550614475e+02
0.00013910565       	2.500113318887e+00	2.024969037576e+05	2.999413771398e+02
0.00014118779       	2.500146823250e+00	2.024581444141e+05	2.999248184705e+02
0.00014326916       	2.500187482676e+00	2.024122144995e+05	2.999050519927e+02
0.00014535155       	2.500236234484e+00	2.023584396667e+05	2.998817385445e+02
0.00014743657       	2.500294045234e+00	2.022961486431e+05	2.998545370708e+02
0.00014952395       	2.500361848494e+00	2.022247345643e+05	2.998231321573e+02
0.00015160655       	2.500440302686e+00	2.021438911897e+05	2.997873404708e+02
0.00015368696       	2.500530330120e+00	2.020530561131e+05	2.997468628914e+02
0.00015576803       	2.500632907700e+00	2.019516397495e+05	2.997013842145e+02
0.00015785255       	2.500749065292e+00	2.018390277009e+05	2.996505742455e+02
0.00015994128       	2.500879760680e+00	2.017146935686e+05	2.995941405858e+02
0.00016203403       	2.501025888207e+00	2.015781774683e+05	2.995318212902e+02
0.00016413147       	2.501188384273e+00	2.014289828331e+05	2.994633385371e+02
0.00016623098       	2.501367888986e+00	2.012668751265e+05	2.993885380432e+02
0.00016832923       	2.501564863303e+00	2.010917641249e+05	2.993073356597e+02
0.00017042662       	2.501780021647e+00	2.009033330409e+05	2.992195417659e+02
0.00017252372       	2.502014087266e+00	2.007012645145e+05	2.991249649276e+02
0.00017462115       	2.502267793863e+00	2.004852408371e+05	2.990234118284e+02
0.0001767175        	2.502541597416e+00	2.002551767632e+05	2.989147996892e+02
0.00017880975       	2.502835631480e+00	2.000112382060e+05	2.987991686200e+02
0.00018089822       	2.503150387414e+00	1.997532870712e+05	2.986764160218e+02
0.00018298382       	2.503486409687e+00	1.994811415907e+05	2.985464193450e+02
0.00018506784       	2.503844303265e+00	1.991945799724e+05	2.984090356721e+02
0.00018715179       	2.504224716433e+00	1.988933649152e+05	2.982641110033e+02
0.00018923712       	2.504628303321e+00	1.985772816128e+05	2.981114967271e+02
0.00019132498       	2.505055671966e+00	1.982461814321e+05	2.979510702883e+02
0.00019341607       	2.505507328324e+00	1.979000217935e+05	2.977827556779e+02
0.00019550679       	2.505982735510e+00	1.975395500837e+05	2.976068644523e+02
0.00019759767       	2.506482140243e+00	1.971649291042e+05	2.974234204783e+02
0.0001996895        	2.507005809392e+00	1.967763112147e+05	2.972324426908e+02
0.00020178406       	2.507554239472e+00	1.963736854436e+05	2.970338689702e+02
0.0002038826        	2.508127800024e+00	1.959571344465e+05	2.968276839268e+02
0.00020598571       	2.508726662611e+00	1.955268769248e+05	2.966139411734e+02
0.00020808843       	2.509349275920e+00	1.950843099895e+05	2.963932926807e+02
0.00021019037       	2.509995258871e+00	1.946299696181e+05	2.961659638965e+02
0.0002122906        	2.510663995600e+00	1.941645209641e+05	2.959322519231e+02
0.00021438843       	2.511354866846e+00	1.936885952268e+05	2.956924437206e+02
0.00021648348       	2.512067310850e+00	1.932027509236e+05	2.954467957756e+02
0.00021857564       	2.512800820762e+00	1.927074804775e+05	2.951955361242e+02
0.00022066517       	2.513555017920e+00	1.922031675051e+05	2.949388407994e+02
0.0002227528        	2.514329700342e+00	1.916900617334e+05	2.946768192888e+02
0.00022483961       	2.515124839929e+00	1.911682866513e+05	2.944095173154e+02
0.00022692689       	2.515940528861e+00	1.906378775442e+05	2.941369359848e+02
0.00022901591       	2.516776891133e+00	1.900988387724e+05	2.938590614532e+02
0.00023110768       	2.517633981953e+00	1.895512057381e+05	2.935758973210e+02
0.00023319664       	2.518509050103e+00	1.889967319386e+05	2.932883520118e+02
0.00023528413       	2.519402171184e+00	1.884353732158e+05	2.929963963398e+02
0.00023737264       	2.520313984788e+00	1.878667361404e+05	2.926998158057e+02
0.0002394631        	2.521244492613e+00	1.872908177949e+05	2.923986005225e+02
0.00024155604       	2.522193563221e+00	1.867076912668e+05	2.920927813547e+02
0.00024365299       	2.523161543907e+00	1.861171419865e+05	2.917822373587e+02
0.00024575414       	2.524148189133e+00	1.855193141360e+05	2.914670398512e+02
0.00024785426       	2.525150625892e+00	1.849158961006e+05	2.911480899674e+02
0.00024995364       	2.526168561483e+00	1.843070355483e+05	2.908254711726e+02
0.00025205269       	2.527201801191e+00	1.836928292680e+05	2.904992403169e+02
0.0002541519        	2.528250233264e+00	1.830733335447e+05	2.901694321071e+02
0.00025624823       	2.529311934911e+00	1.824496504942e+05	2.898366457417e+02
0.00025834119       	2.530386279443e+00	1.818221246012e+05	2.895010738230e+02
0.00026043103       	2.531473029914e+00	1.811908758920e+05	2.891627876098e+02
0.00026251848       	2.532572241712e+00	1.805558590969e+05	2.888217682626e+02
0.0002646047        	2.533684232865e+00	1.799168825762e+05	2.884779165246e+02
0.00026669107       	2.534809489626e+00	1.792736669757e+05	2.881310842626e+02
0.00026877893       	2.535948531745e+00	1.786259230668e+05	2.877811169129e+02
0.00027086939       	2.537101768817e+00	1.779734298329e+05	2.874278966846e+02
0.00027296012       	2.538267696518e+00	1.773170253985e+05	2.870718876825e+02
0.00027504941       	2.539445090547e+00	1.766573794884e+05	2.867134665096e+02
0.00027713927       	2.540634865981e+00	1.759939846463e+05	2.863523657792e+02
0.00027923031       	2.541837146976e+00	1.753267774014e+05	2.859885630401e+02
0.0002813242        	2.543052715378e+00	1.746553462268e+05	2.856218443632e+02
0.00028342229       	2.544282204571e+00	1.739793761625e+05	2.852520480643e+02
0.00028552441       	2.545525371502e+00	1.732990344332e+05	2.848792779867e+02
0.00028762554       	2.546779013650e+00	1.726160666245e+05	2.845045133243e+02
0.00028972593       	2.548043067235e+00	1.719305166097e+05	2.841277903862e+02
0.00029182599       	2.549317534698e+00	1.712423729865e+05	2.837491123938e+02
0.0002939245        	2.550601366094e+00	1.705521455616e+05	2.833687712023e+02
0.0002960199        	2.551893230993e+00	1.698604416732e+05	2.829871121608e+02
0.00029811208       	2.553192598457e+00	1.691673906188e+05	2.826042133423e+02
0.00030020135       	2.554499141077e+00	1.684729683441e+05	2.822200682052e+02
