# y+ ()           
# Time            	patch             	min               	max               	average           
2000              	floorSlip	8.1186618464e+03	1.7545654535e+04	1.6592753283e+04
2000              	floorNoSlip	4.4501852104e+00	3.6704089806e+03	8.5838784759e+02
2000              	top	1.2341747924e+04	1.7545710216e+04	1.5842499528e+04
2000              	sideMinus	2.8409599006e+03	1.7545702397e+04	1.6086971742e+04
2000              	sidePlus	2.8382770421e+03	1.7545706370e+04	1.6087519278e+04
2000              	BodyA_Pillar	9.0997063398e+00	2.0974127410e+03	5.8810304987e+02
2000              	BodyDoorhandles	1.3438298043e+01	1.1347673123e+03	3.4201135842e+02
2000              	BodyFasciafront1	6.3747332054e+00	2.1047193269e+03	3.1250440383e+02
2000              	BodyFasciafront2	4.0383864500e+01	1.5368094746e+03	4.2289437632e+02
2000              	BodyFender	1.3374811800e+01	2.1112484820e+03	3.2036015333e+02
2000              	BodyHeadlamps	6.3212138447e+01	8.5904384210e+02	2.9922253999e+02
2000              	BodyHood	3.2462694307e+01	2.0796137945e+03	2.5419891462e+02
2000              	BodyRear	7.8798178436e+00	1.8364348887e+03	1.5655718827e+02
2000              	BodyRearAccess	8.4803161835e+00	1.7702618328e+02	5.2270809988e+01
2000              	BodyRocker	6.8666512494e+00	3.6727353995e+02	8.1146977479e+01
2000              	BodyRoof	1.9043335355e+02	1.9828626218e+03	3.6576975640e+02
2000              	BodySide	6.4033557991e+00	1.4636104910e+03	1.9799208663e+02
2000              	BodyWindowfront	1.2506007878e+01	1.9891017614e+03	3.1058158515e+02
2000              	BodyWindowfrontframe	1.3877004404e+01	1.9213591365e+03	3.2822043099e+02
2000              	BodyWindowSide	1.1299201291e+01	1.1675900502e+03	2.6339686151e+02
2000              	BodyWindowsideframe	1.2252624214e+01	1.7113671775e+03	3.0751432034e+02
2000              	BrakeDiscfront	5.8158849511e+00	8.8044354610e+02	1.8408810467e+02
2000              	BrakeDiscrear	1.1171897065e+01	6.4050770855e+02	1.7547774888e+02
2000              	ClosedGrillLowerInsert	7.1451421590e+00	5.1028862519e+02	6.8045094681e+01
2000              	ClosedGrillUpperInsert	1.3768174743e+01	1.0088362036e+03	1.3515693374e+02
2000              	CTRL_SURFACE_Outlet	4.2397694741e+00	2.9555763384e+02	4.7487562179e+01
2000              	CTRL_SURFACE_Wheelhouse_LHS	3.9797686699e+00	1.0963021182e+02	4.8584349075e+01
2000              	CTRL_SURFACE_Wheelshouse_RHS	7.0150102864e+00	1.3609174791e+02	5.3867792870e+01
2000              	EngineUndershield	1.0652711096e+01	1.9725160150e+03	9.8434472012e+01
2000              	ExhaustSystem1	7.9565365588e+00	1.7653474096e+02	5.0972265980e+01
2000              	ExhaustSystem2	2.7563815438e+00	1.1320614088e+03	1.0768438404e+02
2000              	ExhaustSystem3	5.2374161970e+00	3.1656387238e+02	6.7774450813e+01
2000              	Mirrors1	1.2252624214e+01	1.4524025331e+03	3.5185779953e+02
2000              	Mirrors2	1.6281719236e+01	2.7225447596e+02	9.1379763818e+01
2000              	NotchbackB_Pillar	2.8208152879e+01	1.8910055528e+03	5.1558447534e+02
2000              	NotchbackBodyside	2.8299830016e+01	1.0737872362e+03	2.3998625457e+02
2000              	NotchbackC_Pillar	1.6886759255e+01	1.7738762966e+03	3.0747450506e+02
2000              	NotchbackRoof	8.7584113693e+01	1.5230564867e+03	2.7812329840e+02
2000              	NotchbackTrunk	1.9077769169e+01	9.6745047969e+02	1.4473346339e+02
2000              	NotchbackWindowrear	5.4719725835e+00	1.1751162360e+03	1.3393627936e+02
2000              	NotchbackWindowrearframe	7.2216690201e+01	1.8874250736e+03	7.1173594382e+02
2000              	NotchbackWindowside	5.5073849209e+01	2.0511884880e+03	3.8440023605e+02
2000              	NotchbackWindowsideframe	1.9598303703e+01	2.0155164896e+03	4.4129878820e+02
2000              	OCDADetailedUnderbody	1.9226422412e+00	1.7349563447e+03	1.4917844266e+02
2000              	Powertrain	1.5250361556e+00	1.0249418383e+03	1.2198583111e+02
2000              	Rimsfront	1.0167086449e+01	1.7103920790e+03	3.1724168182e+02
2000              	Rimsrear	6.4112488620e+00	1.2681576590e+03	2.6700337672e+02
2000              	Tiresfront	4.9707696149e+00	2.2153092324e+03	2.8197330456e+02
2000              	Tiresrear	2.2892833288e+00	1.4690718277e+03	2.3632881346e+02
2000              	WheelSupportfront1	1.3045926634e+01	1.5813415758e+03	3.3721698192e+02
2000              	WheelSupportfront2	8.7932628237e+00	7.8434158421e+02	2.0798092885e+02
2000              	WheelSupportrear	1.2284762146e+01	1.3753834759e+03	2.3673450894e+02
