utc	avail_GiB	snappy_RSS_GiB	stage
2026-09-12T01:55:27Z	10.97	4.25	Selected for refinement : 4 cells (out of 5413195)
2026-09-12T01:55:37Z	10.91	4.38	Selected for refinement : 4 cells (out of 5413195)
2026-09-12T01:55:47Z	11.27	3.13	Selected for refinement : 4 cells (out of 5413195)
2026-09-12T01:55:57Z	12.14	3.13	Selected for refinement : 4 cells (out of 5413195)
2026-09-12T01:56:07Z	12.02	3.49	    Number of edges to retest   : 450
2026-09-12T01:56:17Z	10.93	3.88	    Number of edges to retest   : 450
2026-09-12T01:56:27Z	11.86	3.88	
2026-09-12T01:56:38Z	11.98	3.88	
2026-09-12T01:56:48Z	12.00	3.88	
2026-09-12T01:56:58Z	10.97	4.54	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:57:08Z	11.05	4.20	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:57:18Z	11.91	3.54	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:57:28Z	11.90	3.83	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:57:39Z	11.99	3.63	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:57:49Z	11.72	3.78	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:57:59Z	11.99	3.63	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:58:09Z	11.66	3.96	For cellZone none found point (-10 5 5) in global region 0 o
2026-09-12T01:58:19Z	11.55	3.81	    Number of edges to retest   : 2124132
2026-09-12T01:58:29Z	10.93	3.96	    Number of edges to retest   : 2124132
2026-09-12T01:58:39Z	11.33	3.96	    Number of edges to retest   : 2124132
2026-09-12T01:58:50Z	11.38	3.96	    Number of edges to retest   : 2124132
2026-09-12T01:59:00Z	11.27	3.96	    Number of edges to retest   : 2124132
2026-09-12T01:59:10Z	10.91	3.88	    Number of intersected edges : 697657
2026-09-12T01:59:20Z	11.05	3.97	
2026-09-12T01:59:30Z	11.12	3.97	
2026-09-12T01:59:40Z	11.02	3.97	
2026-09-12T01:59:50Z	9.90	3.97	
2026-09-12T02:00:00Z	11.40	4.09	
2026-09-12T02:00:10Z	11.53	4.07	
2026-09-12T02:00:21Z	10.55	4.15	
2026-09-12T02:00:31Z	11.17	4.15	
2026-09-12T02:00:41Z	11.13	4.15	
2026-09-12T02:00:51Z	11.09	3.96	
2026-09-12T02:01:01Z	10.04	5.22	
2026-09-12T02:01:11Z	11.88	3.86	
2026-09-12T02:01:21Z	11.11	3.94	
2026-09-12T02:01:31Z	10.71	4.56	
2026-09-12T02:01:41Z	12.33	3.42	
2026-09-12T02:01:52Z	11.70	3.87	    Number of edges to retest   : 1810846
2026-09-12T02:02:02Z	11.07	4.12	    Number of edges to retest   : 1810846
2026-09-12T02:02:12Z	11.27	4.19	    Number of edges to retest   : 1810846
2026-09-12T02:02:22Z	11.39	4.21	    Number of edges to retest   : 1810846
2026-09-12T02:02:32Z	11.45	4.21	    Number of edges to retest   : 1810846
2026-09-12T02:02:42Z	10.90	4.21	    Number of edges to retest   : 1810846
